rmort,rmortTB,CDRscaleO,fchild,vchild,rchild,w,pchild,pelderly,padult,n,uiscaleC,relderly,radult,x,fadult,felderly,vadult,CDRscale,e,nelderly,velderly,uiscaleA,uiscaleE,neta,CDRscaleE,p0
-0.6,-0.897660328,-0.317700748,0.144484943,0.000119312,0.005299513,0.012404581,0.021267913,0.271436904,0.198364227,0.217176368,1.891736529,0.010599976,0.005158876,0.321048437,0.739664195,0.720213227,0.000237892,0.448995265,0.631518057,0.101320797,0.001813742,0.185103051,0.486119229,2.030473171,-0.060067181,1267142
-0.6,-0.946689116,0.87329239,0.130464995,0.000138613,0.008938575,0.011890401,0.019310941,0.294656851,0.149014377,0.186080815,1.437383511,0.018494345,0.005957937,0.336318993,0.736722846,0.682657583,0.000262276,0.448887377,0.603049555,0.110411908,0.000654542,0.522983192,0.855185304,2.473662346,-0.029072948,1267142
-0.6,-0.926408455,0.356039066,0.124293945,0.000132361,0.007377542,0.011321804,0.019373868,0.239604407,0.166924229,0.201062776,1.622815099,0.019582551,0.005178654,0.326342577,0.743064951,0.663073371,0.00024433,0.422352044,0.674630847,0.101089835,0.00105161,0.310013553,0.752356531,2.176388317,-0.085750658,1267142
-0.6,-0.896851004,0.311899268,0.145422938,0.000113209,0.006079036,0.016479922,0.025221698,0.241030936,0.169882018,0.191934061,1.320393203,0.011857261,0.006928071,0.353798087,0.736577332,0.726708482,0.000237804,0.46177503,0.660661688,0.115610246,0.001624322,0.278055233,0.394569419,2.192123951,-0.079779603,1267142
-0.6,-0.932090102,0.717968499,0.124327863,0.000111673,0.005223203,0.017263992,0.018747573,0.240605893,0.162769521,0.181557801,1.728909356,0.015021206,0.005227353,0.256067593,0.743873598,0.726479661,0.000224804,0.488812175,0.625965905,0.103733572,0.00169123,0.548094548,0.766815119,2.393135813,-0.003397496,1267142
-0.6,-0.890810889,0.635128103,0.147138883,0.000104601,0.006495172,0.013453433,0.018549498,0.296826868,0.141841793,0.172442845,1.422865762,0.012498568,0.006131324,0.302016169,0.745941998,0.732006523,0.000240504,0.466314253,0.704433429,0.10296682,0.001555467,0.328126028,0.666692568,2.554634113,-0.007930819,1267142
-0.6,-0.886442585,0.420899599,0.135248663,0.000110106,0.006084914,0.012330444,0.016235308,0.311666316,0.143827212,0.187284388,1.365609409,0.013025889,0.005843179,0.294386786,0.737893519,0.719613638,0.000232265,0.402027759,0.728659077,0.108768113,0.001747006,0.385735389,0.668615694,2.535557242,-0.041960467,1267142
-0.6,-0.929186821,0.612873005,0.103303605,0.000149872,0.01018849,0.011280178,0.017388831,0.27807712,0.161885019,0.177055628,1.727144416,0.008475019,0.006163752,0.31868878,0.745612157,0.708533218,0.000238548,0.488466507,0.642246802,0.110223189,0.002523141,0.431259886,1.029044543,2.276650654,-0.066970314,1267142
-0.6,-0.912893873,0.421876948,0.140737978,0.00011437,0.00601958,0.012535783,0.016213005,0.316533637,0.144706083,0.182805719,1.340122362,0.008571893,0.005906851,0.291620774,0.746893589,0.708704298,0.0002341,0.429285823,0.709825567,0.111614836,0.002151495,0.390698749,0.719702636,2.498791395,-0.041208145,1267142
-0.6,-0.903669977,0.392655034,0.143753485,0.0001551,0.005199518,0.015626615,0.019811028,0.258722679,0.172012369,0.166397314,1.310902798,0.008928417,0.005317716,0.294862284,0.725976833,0.712127248,0.000214467,0.456757744,0.634977499,0.108824174,0.003103026,0.444579144,0.867526555,2.08467517,-0.064477888,1267142
