"","","","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count"
2795.18961293437,0,0,2795.18961293437,1,1,2795.18961293437,1,2,2795.18961293437,1,3,2795.18961293437,1,4,2795.18961293437,1,5,2795.18961293437,1,6,2795.18961293437,1,7,2795.18961293437,1,8,2795.18961293437,1,9,2795.18961293437,1,10,2795.18961293437,1,11,2795.18961293437,1,12,2795.18961293437,1,13,2795.18961293437,1,14,2795.18961293437,1,15,2795.18961293437,1,16,2795.18961293437,1,17,2795.18961293437,1,18,2795.18961293437,1,19,2795.18961293437,1,20,2795.18961293437,1,21,2795.18961293437,1,22,2795.18961293437,1,23,2795.18961293437,1,24,2795.18961293437,1,25,2795.18961293437,1,26,2795.18961293437,1,27,2795.18961293437,1,28,2795.18961293437,1,29,2795.18961293437,1,30,2795.18961293437,1,31,2795.18961293437,1,32,2795.18961293437,1,33,2795.18961293437,1,34,2795.18961293437,1,35,2795.18961293437,1,36,2795.18961293437,1,37,2795.18961293437,1,38,2795.18961293437,1,39,2795.18961293437,1,40,2795.18961293437,1,41,2795.18961293437,1,42,2795.18961293437,1,43,2795.18961293437,1,44,2795.18961293437,1,45,2795.18961293437,1,46,2795.18961293437,1,47,2795.18961293437,1,48,2795.18961293437,1,49,2795.18961293437,1,50,2795.18961293437,1,51,2795.18961293437,1,52,2795.18961293437,1,53,2795.18961293437,1,54,2795.18961293437,1,55,2795.18961293437,1,56,2795.18961293437,1,57,2795.18961293437,1,58,2795.18961293437,1,59,2795.18961293437,1,60,2795.18961293437,1,61,2795.18961293437,1,62,2795.18961293437,1,63,2795.18961293437,1,64,2795.18961293437,1,65,2795.18961293437,1,66,2795.18961293437,1,67,2795.18961293437,1,68,2795.18961293437,1,69,2795.18961293437,1,70,2795.18961293437,1,71,2795.18961293437,1,72,2795.18961293437,1,73,2795.18961293437,1,74,2795.18961293437,1,75,2795.18961293437,1,76,2795.18961293437,1,77,2795.18961293437,1,78,2795.18961293437,1,79,2795.18961293437,1,80,2795.18961293437,1,81
5107.92244493973,0,0,5107.92244493973,1,1,5107.92244493973,1,2,5107.92244493973,1,3,5107.92244493973,1,4,5107.92244493973,1,5,5107.92244493973,1,6,5107.92244493973,1,7,5107.92244493973,1,8,5107.92244493973,1,9,5107.92244493973,1,10,5107.92244493973,1,11,5107.92244493973,1,12,5107.92244493973,1,13,5107.92244493973,1,14,5107.92244493973,1,15,5107.92244493973,1,16,5107.92244493973,1,17,5107.92244493973,1,18,5107.92244493973,1,19,5107.92244493973,1,20,5107.92244493973,1,21,5107.92244493973,1,22,5107.92244493973,1,23,5107.92244493973,1,24,5107.92244493973,1,25,5107.92244493973,1,26,5107.92244493973,1,27,5107.92244493973,1,28,5107.92244493973,1,29,5107.92244493973,1,30,5107.92244493973,1,31,5107.92244493973,1,32,5107.92244493973,1,33,5107.92244493973,1,34,5107.92244493973,1,35,5107.92244493973,1,36,5107.92244493973,1,37,5107.92244493973,1,38,5107.92244493973,1,39,5107.92244493973,1,40,5107.92244493973,1,41,5107.92244493973,1,42,5107.92244493973,1,43,5107.92244493973,1,44,5107.92244493973,1,45,5107.92244493973,1,46,5107.92244493973,1,47,5107.92244493973,1,48,5107.92244493973,1,49,5107.92244493973,1,50,5107.92244493973,1,51,5107.92244493973,1,52,5107.92244493973,1,53,5107.92244493973,1,54,5107.92244493973,1,55,5107.92244493973,1,56,5107.92244493973,1,57,5107.92244493973,1,58,5107.92244493973,1,59,5107.92244493973,1,60,5107.92244493973,1,61,5107.92244493973,1,62,5107.92244493973,1,63,5107.92244493973,1,64,5107.92244493973,1,65,5107.92244493973,1,66,5107.92244493973,1,67,5107.92244493973,1,68,5107.92244493973,1,69,5107.92244493973,1,70,5107.92244493973,1,71,5107.92244493973,1,72,5107.92244493973,1,73,5107.92244493973,1,74,5107.92244493973,1,75,5107.92244493973,1,76,5107.92244493973,1,77,5107.92244493973,1,78,5107.92244493973,1,79,5107.92244493973,1,80,5107.92244493973,1,81
4591.9976121997,0,0,4591.9976121997,1,1,4591.9976121997,1,2,4591.9976121997,1,3,4591.9976121997,1,4,4591.9976121997,1,5,4591.9976121997,1,6,4591.9976121997,1,7,4591.9976121997,1,8,4591.9976121997,1,9,4591.9976121997,1,10,4591.9976121997,1,11,4591.9976121997,1,12,4591.9976121997,1,13,4591.9976121997,1,14,4591.9976121997,1,15,4591.9976121997,1,16,4591.9976121997,1,17,4591.9976121997,1,18,4591.9976121997,1,19,4591.9976121997,1,20,4591.9976121997,1,21,4591.9976121997,1,22,4591.9976121997,1,23,4591.9976121997,1,24,4591.9976121997,1,25,4591.9976121997,1,26,4591.9976121997,1,27,4591.9976121997,1,28,4591.9976121997,1,29,4591.9976121997,1,30,4591.9976121997,1,31,4591.9976121997,1,32,4591.9976121997,1,33,4591.9976121997,1,34,4591.9976121997,1,35,4591.9976121997,1,36,4591.9976121997,1,37,4591.9976121997,1,38,4591.9976121997,1,39,4591.9976121997,1,40,4591.9976121997,1,41,4591.9976121997,1,42,4591.9976121997,1,43,4591.9976121997,1,44,4591.9976121997,1,45,4591.9976121997,1,46,4591.9976121997,1,47,4591.9976121997,1,48,4591.9976121997,1,49,4591.9976121997,1,50,4591.9976121997,1,51,4591.9976121997,1,52,4591.9976121997,1,53,4591.9976121997,1,54,4591.9976121997,1,55,4591.9976121997,1,56,4591.9976121997,1,57,4591.9976121997,1,58,4591.9976121997,1,59,4591.9976121997,1,60,4591.9976121997,1,61,4591.9976121997,1,62,4591.9976121997,1,63,4591.9976121997,1,64,4591.9976121997,1,65,4591.9976121997,1,66,4591.9976121997,1,67,4591.9976121997,1,68,4591.9976121997,1,69,4591.9976121997,1,70,4591.9976121997,1,71,4591.9976121997,1,72,4591.9976121997,1,73,4591.9976121997,1,74,4591.9976121997,1,75,4591.9976121997,1,76,4591.9976121997,1,77,4591.9976121997,1,78,4591.9976121997,1,79,4591.9976121997,1,80,4591.9976121997,1,81
4155.83874085245,0,0,4155.83874085245,1,1,4155.83874085245,1,2,4155.83874085245,1,3,4155.83874085245,1,4,4155.83874085245,1,5,4155.83874085245,1,6,4155.83874085245,1,7,4155.83874085245,1,8,4155.83874085245,1,9,4155.83874085245,1,10,4155.83874085245,1,11,4155.83874085245,1,12,4155.83874085245,1,13,4155.83874085245,1,14,4155.83874085245,1,15,4155.83874085245,1,16,4155.83874085245,1,17,4155.83874085245,1,18,4155.83874085245,1,19,4155.83874085245,1,20,4155.83874085245,1,21,4155.83874085245,1,22,4155.83874085245,1,23,4155.83874085245,1,24,4155.83874085245,1,25,4155.83874085245,1,26,4155.83874085245,1,27,4155.83874085245,1,28,4155.83874085245,1,29,4155.83874085245,1,30,4155.83874085245,1,31,4155.83874085245,1,32,4155.83874085245,1,33,4155.83874085245,1,34,4155.83874085245,1,35,4155.83874085245,1,36,4155.83874085245,1,37,4155.83874085245,1,38,4155.83874085245,1,39,4155.83874085245,1,40,4155.83874085245,1,41,4155.83874085245,1,42,4155.83874085245,1,43,4155.83874085245,1,44,4155.83874085245,1,45,4155.83874085245,1,46,4155.83874085245,1,47,4155.83874085245,1,48,4155.83874085245,1,49,4155.83874085245,1,50,4155.83874085245,1,51,4155.83874085245,1,52,4155.83874085245,1,53,4155.83874085245,1,54,4155.83874085245,1,55,4155.83874085245,1,56,4155.83874085245,1,57,4155.83874085245,1,58,4155.83874085245,1,59,4155.83874085245,1,60,4155.83874085245,1,61,4155.83874085245,1,62,4155.83874085245,1,63,4155.83874085245,1,64,4155.83874085245,1,65,4155.83874085245,1,66,4155.83874085245,1,67,4155.83874085245,1,68,4155.83874085245,1,69,4155.83874085245,1,70,4155.83874085245,1,71,4155.83874085245,1,72,4155.83874085245,1,73,4155.83874085245,1,74,4155.83874085245,1,75,4155.83874085245,1,76,4155.83874085245,1,77,4155.83874085245,1,78,4155.83874085245,1,79,4155.83874085245,1,80,4155.83874085245,1,81
3785.45713979052,0,0,3785.45713979052,1,1,3785.45713979052,1,2,3785.45713979052,1,3,3785.45713979052,1,4,3785.45713979052,1,5,3785.45713979052,1,6,3785.45713979052,1,7,3785.45713979052,1,8,3785.45713979052,1,9,3785.45713979052,1,10,3785.45713979052,1,11,3785.45713979052,1,12,3785.45713979052,1,13,3785.45713979052,1,14,3785.45713979052,1,15,3785.45713979052,1,16,3785.45713979052,1,17,3785.45713979052,1,18,3785.45713979052,1,19,3785.45713979052,1,20,3785.45713979052,1,21,3785.45713979052,1,22,3785.45713979052,1,23,3785.45713979052,1,24,3785.45713979052,1,25,3785.45713979052,1,26,3785.45713979052,1,27,3785.45713979052,1,28,3785.45713979052,1,29,3785.45713979052,1,30,3785.45713979052,1,31,3785.45713979052,1,32,3785.45713979052,1,33,3785.45713979052,1,34,3785.45713979052,1,35,3785.45713979052,1,36,3785.45713979052,1,37,3785.45713979052,1,38,3785.45713979052,1,39,3785.45713979052,1,40,3785.45713979052,1,41,3785.45713979052,1,42,3785.45713979052,1,43,3785.45713979052,1,44,3785.45713979052,1,45,3785.45713979052,1,46,3785.45713979052,1,47,3785.45713979052,1,48,3785.45713979052,1,49,3785.45713979052,1,50,3785.45713979052,1,51,3785.45713979052,1,52,3785.45713979052,1,53,3785.45713979052,1,54,3785.45713979052,1,55,3785.45713979052,1,56,3785.45713979052,1,57,3785.45713979052,1,58,3785.45713979052,1,59,3785.45713979052,1,60,3785.45713979052,1,61,3785.45713979052,1,62,3785.45713979052,1,63,3785.45713979052,1,64,3785.45713979052,1,65,3785.45713979052,1,66,3785.45713979052,1,67,3785.45713979052,1,68,3785.45713979052,1,69,3785.45713979052,1,70,3785.45713979052,1,71,3785.45713979052,1,72,3785.45713979052,1,73,3785.45713979052,1,74,3785.45713979052,1,75,3785.45713979052,1,76,3785.45713979052,1,77,3785.45713979052,1,78,3785.45713979052,1,79,3785.45713979052,1,80,3785.45713979052,1,81
3470.24888080377,0,0,3470.24888080377,1,1,3470.24888080377,1,2,3470.24888080377,1,3,3470.24888080377,1,4,3470.24888080377,1,5,3470.24888080377,1,6,3470.24888080377,1,7,3470.24888080377,1,8,3470.24888080377,1,9,3470.24888080377,1,10,3470.24888080377,1,11,3470.24888080377,1,12,3470.24888080377,1,13,3470.24888080377,1,14,3470.24888080377,1,15,3470.24888080377,1,16,3470.24888080377,1,17,3470.24888080377,1,18,3470.24888080377,1,19,3470.24888080377,1,20,3470.24888080377,1,21,3470.24888080377,1,22,3470.24888080377,1,23,3470.24888080377,1,24,3470.24888080377,1,25,3470.24888080377,1,26,3470.24888080377,1,27,3470.24888080377,1,28,3470.24888080377,1,29,3470.24888080377,1,30,3470.24888080377,1,31,3470.24888080377,1,32,3470.24888080377,1,33,3470.24888080377,1,34,3470.24888080377,1,35,3470.24888080377,1,36,3470.24888080377,1,37,3470.24888080377,1,38,3470.24888080377,1,39,3470.24888080377,1,40,3470.24888080377,1,41,3470.24888080377,1,42,3470.24888080377,1,43,3470.24888080377,1,44,3470.24888080377,1,45,3470.24888080377,1,46,3470.24888080377,1,47,3470.24888080377,1,48,3470.24888080377,1,49,3470.24888080377,1,50,3470.24888080377,1,51,3470.24888080377,1,52,3470.24888080377,1,53,3470.24888080377,1,54,3470.24888080377,1,55,3470.24888080377,1,56,3470.24888080377,1,57,3470.24888080377,1,58,3470.24888080377,1,59,3470.24888080377,1,60,3470.24888080377,1,61,3470.24888080377,1,62,3470.24888080377,1,63,3470.24888080377,1,64,3470.24888080377,1,65,3470.24888080377,1,66,3470.24888080377,1,67,3470.24888080377,1,68,3470.24888080377,1,69,3470.24888080377,1,70,3470.24888080377,1,71,3470.24888080377,1,72,3470.24888080377,1,73,3470.24888080377,1,74,3470.24888080377,1,75,3470.24888080377,1,76,3470.24888080377,1,77,3470.24888080377,1,78,3470.24888080377,1,79,3470.24888080377,1,80,3470.24888080377,1,81
3199.60668700523,0,0,3199.60668700523,1,1,3199.60668700523,1,2,3199.60668700523,1,3,3199.60668700523,1,4,3199.60668700523,1,5,3199.60668700523,1,6,3199.60668700523,1,7,3199.60668700523,1,8,3199.60668700523,1,9,3199.60668700523,1,10,3199.60668700523,1,11,3199.60668700523,1,12,3199.60668700523,1,13,3199.60668700523,1,14,3199.60668700523,1,15,3199.60668700523,1,16,3199.60668700523,1,17,3199.60668700523,1,18,3199.60668700523,1,19,3199.60668700523,1,20,3199.60668700523,1,21,3199.60668700523,1,22,3199.60668700523,1,23,3199.60668700523,1,24,3199.60668700523,1,25,3199.60668700523,1,26,3199.60668700523,1,27,3199.60668700523,1,28,3199.60668700523,1,29,3199.60668700523,1,30,3199.60668700523,1,31,3199.60668700523,1,32,3199.60668700523,1,33,3199.60668700523,1,34,3199.60668700523,1,35,3199.60668700523,1,36,3199.60668700523,1,37,3199.60668700523,1,38,3199.60668700523,1,39,3199.60668700523,1,40,3199.60668700523,1,41,3199.60668700523,1,42,3199.60668700523,1,43,3199.60668700523,1,44,3199.60668700523,1,45,3199.60668700523,1,46,3199.60668700523,1,47,3199.60668700523,1,48,3199.60668700523,1,49,3199.60668700523,1,50,3199.60668700523,1,51,3199.60668700523,1,52,3199.60668700523,1,53,3199.60668700523,1,54,3199.60668700523,1,55,3199.60668700523,1,56,3199.60668700523,1,57,3199.60668700523,1,58,3199.60668700523,1,59,3199.60668700523,1,60,3199.60668700523,1,61,3199.60668700523,1,62,3199.60668700523,1,63,3199.60668700523,1,64,3199.60668700523,1,65,3199.60668700523,1,66,3199.60668700523,1,67,3199.60668700523,1,68,3199.60668700523,1,69,3199.60668700523,1,70,3199.60668700523,1,71,3199.60668700523,1,72,3199.60668700523,1,73,3199.60668700523,1,74,3199.60668700523,1,75,3199.60668700523,1,76,3199.60668700523,1,77,3199.60668700523,1,78,3199.60668700523,1,79,3199.60668700523,1,80,3199.60668700523,1,81
2966.89959519958,0,0,2966.89959519958,1,1,2966.89959519958,1,2,2966.89959519958,1,3,2966.89959519958,1,4,2966.89959519958,1,5,2966.89959519958,1,6,2966.89959519958,1,7,2966.89959519958,1,8,2966.89959519958,1,9,2966.89959519958,1,10,2966.89959519958,1,11,2966.89959519958,1,12,2966.89959519958,1,13,2966.89959519958,1,14,2966.89959519958,1,15,2966.89959519958,1,16,2966.89959519958,1,17,2966.89959519958,1,18,2966.89959519958,1,19,2966.89959519958,1,20,2966.89959519958,1,21,2966.89959519958,1,22,2966.89959519958,1,23,2966.89959519958,1,24,2966.89959519958,1,25,2966.89959519958,1,26,2966.89959519958,1,27,2966.89959519958,1,28,2966.89959519958,1,29,2966.89959519958,1,30,2966.89959519958,1,31,2966.89959519958,1,32,2966.89959519958,1,33,2966.89959519958,1,34,2966.89959519958,1,35,2966.89959519958,1,36,2966.89959519958,1,37,2966.89959519958,1,38,2966.89959519958,1,39,2966.89959519958,1,40,2966.89959519958,1,41,2966.89959519958,1,42,2966.89959519958,1,43,2966.89959519958,1,44,2966.89959519958,1,45,2966.89959519958,1,46,2966.89959519958,1,47,2966.89959519958,1,48,2966.89959519958,1,49,2966.89959519958,1,50,2966.89959519958,1,51,2966.89959519958,1,52,2966.89959519958,1,53,2966.89959519958,1,54,2966.89959519958,1,55,2966.89959519958,1,56,2966.89959519958,1,57,2966.89959519958,1,58,2966.89959519958,1,59,2966.89959519958,1,60,2966.89959519958,1,61,2966.89959519958,1,62,2966.89959519958,1,63,2966.89959519958,1,64,2966.89959519958,1,65,2966.89959519958,1,66,2966.89959519958,1,67,2966.89959519958,1,68,2966.89959519958,1,69,2966.89959519958,1,70,2966.89959519958,1,71,2966.89959519958,1,72,2966.89959519958,1,73,2966.89959519958,1,74,2966.89959519958,1,75,2966.89959519958,1,76,2966.89959519958,1,77,2966.89959519958,1,78,2966.89959519958,1,79,2966.89959519958,1,80,2966.89959519958,1,81
2768.30484633764,0,0,2768.30484633764,1,1,2768.30484633764,1,2,2768.30484633764,1,3,2768.30484633764,1,4,2768.30484633764,1,5,2768.30484633764,1,6,2768.30484633764,1,7,2768.30484633764,1,8,2768.30484633764,1,9,2768.30484633764,1,10,2768.30484633764,1,11,2768.30484633764,1,12,2768.30484633764,1,13,2768.30484633764,1,14,2768.30484633764,1,15,2768.30484633764,1,16,2768.30484633764,1,17,2768.30484633764,1,18,2768.30484633764,1,19,2768.30484633764,1,20,2768.30484633764,1,21,2768.30484633764,1,22,2768.30484633764,1,23,2768.30484633764,1,24,2768.30484633764,1,25,2768.30484633764,1,26,2768.30484633764,1,27,2768.30484633764,1,28,2768.30484633764,1,29,2768.30484633764,1,30,2768.30484633764,1,31,2768.30484633764,1,32,2768.30484633764,1,33,2768.30484633764,1,34,2768.30484633764,1,35,2768.30484633764,1,36,2768.30484633764,1,37,2768.30484633764,1,38,2768.30484633764,1,39,2768.30484633764,1,40,2768.30484633764,1,41,2768.30484633764,1,42,2768.30484633764,1,43,2768.30484633764,1,44,2768.30484633764,1,45,2768.30484633764,1,46,2768.30484633764,1,47,2768.30484633764,1,48,2768.30484633764,1,49,2768.30484633764,1,50,2768.30484633764,1,51,2768.30484633764,1,52,2768.30484633764,1,53,2768.30484633764,1,54,2768.30484633764,1,55,2768.30484633764,1,56,2768.30484633764,1,57,2768.30484633764,1,58,2768.30484633764,1,59,2768.30484633764,1,60,2768.30484633764,1,61,2768.30484633764,1,62,2768.30484633764,1,63,2768.30484633764,1,64,2768.30484633764,1,65,2768.30484633764,1,66,2768.30484633764,1,67,2768.30484633764,1,68,2768.30484633764,1,69,2768.30484633764,1,70,2768.30484633764,1,71,2768.30484633764,1,72,2768.30484633764,1,73,2768.30484633764,1,74,2768.30484633764,1,75,2768.30484633764,1,76,2768.30484633764,1,77,2768.30484633764,1,78,2768.30484633764,1,79,2768.30484633764,1,80,2768.30484633764,1,81
2598.52119952808,0,0,2598.52119952808,1,1,2598.52119952808,1,2,2598.52119952808,1,3,2598.52119952808,1,4,2598.52119952808,1,5,2598.52119952808,1,6,2598.52119952808,1,7,2598.52119952808,1,8,2598.52119952808,1,9,2598.52119952808,1,10,2598.52119952808,1,11,2598.52119952808,1,12,2598.52119952808,1,13,2598.52119952808,1,14,2598.52119952808,1,15,2598.52119952808,1,16,2598.52119952808,1,17,2598.52119952808,1,18,2598.52119952808,1,19,2598.52119952808,1,20,2598.52119952808,1,21,2598.52119952808,1,22,2598.52119952808,1,23,2598.52119952808,1,24,2598.52119952808,1,25,2598.52119952808,1,26,2598.52119952808,1,27,2598.52119952808,1,28,2598.52119952808,1,29,2598.52119952808,1,30,2598.52119952808,1,31,2598.52119952808,1,32,2598.52119952808,1,33,2598.52119952808,1,34,2598.52119952808,1,35,2598.52119952808,1,36,2598.52119952808,1,37,2598.52119952808,1,38,2598.52119952808,1,39,2598.52119952808,1,40,2598.52119952808,1,41,2598.52119952808,1,42,2598.52119952808,1,43,2598.52119952808,1,44,2598.52119952808,1,45,2598.52119952808,1,46,2598.52119952808,1,47,2598.52119952808,1,48,2598.52119952808,1,49,2598.52119952808,1,50,2598.52119952808,1,51,2598.52119952808,1,52,2598.52119952808,1,53,2598.52119952808,1,54,2598.52119952808,1,55,2598.52119952808,1,56,2598.52119952808,1,57,2598.52119952808,1,58,2598.52119952808,1,59,2598.52119952808,1,60,2598.52119952808,1,61,2598.52119952808,1,62,2598.52119952808,1,63,2598.52119952808,1,64,2598.52119952808,1,65,2598.52119952808,1,66,2598.52119952808,1,67,2598.52119952808,1,68,2598.52119952808,1,69,2598.52119952808,1,70,2598.52119952808,1,71,2598.52119952808,1,72,2598.52119952808,1,73,2598.52119952808,1,74,2598.52119952808,1,75,2598.52119952808,1,76,2598.52119952808,1,77,2598.52119952808,1,78,2598.52119952808,1,79,2598.52119952808,1,80,2598.52119952808,1,81
