"","","","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count"
2795.18961293437,0,0,2803.92328143065,1,1,2803.92328143065,1,2,2803.92328143065,1,3,2803.92328143065,1,4,2803.92328143065,1,5,2803.92328143065,1,6,2803.92328143065,1,7,2803.92328143065,1,8,2803.92328143065,1,9,2803.92328143065,1,10,2803.92328143065,1,11,2803.92328143065,1,12,2803.92328143065,1,13,2803.92328143065,1,14,2803.92328143065,1,15,2803.92328143065,1,16,2803.92328143065,1,17,2803.92328143065,1,18,2803.92328143065,1,19,2803.92328143065,1,20,2803.92328143065,1,21,2803.92328143065,1,22,2803.92328143065,1,23,2803.92328143065,1,24,2803.92328143065,1,25,2803.92328143065,1,26,2803.92328143065,1,27
5107.92244493973,0,0,5230.69792316656,1,1,5230.69792316656,1,2,5230.69792316656,1,3,5230.69792316656,1,4,5230.69792316656,1,5,5230.69792316656,1,6,5230.69792316656,1,7,5230.69792316656,1,8,5230.69792316656,1,9,5230.69792316656,1,10,5230.69792316656,1,11,5230.69792316656,1,12,5230.69792316656,1,13,5230.69792316656,1,14,5230.69792316656,1,15,5230.69792316656,1,16,5230.69792316656,1,17,5230.69792316656,1,18,5230.69792316656,1,19,5230.69792316656,1,20,5230.69792316656,1,21,5230.69792316656,1,22,5230.69792316656,1,23,5230.69792316656,1,24,5230.69792316656,1,25,5230.69792316656,1,26,5230.69792316656,1,27
4591.9976121997,0,0,4818.10402282857,1,1,4818.10402282857,1,2,4818.10402282857,1,3,4818.10402282857,1,4,4818.10402282857,1,5,4818.10402282857,1,6,4818.10402282857,1,7,4818.10402282857,1,8,4818.10402282857,1,9,4818.10402282857,1,10,4818.10402282857,1,11,4818.10402282857,1,12,4818.10402282857,1,13,4818.10402282857,1,14,4818.10402282857,1,15,4818.10402282857,1,16,4818.10402282857,1,17,4818.10402282857,1,18,4818.10402282857,1,19,4818.10402282857,1,20,4818.10402282857,1,21,4818.10402282857,1,22,4818.10402282857,1,23,4818.10402282857,1,24,4818.10402282857,1,25,4818.10402282857,1,26,4818.10402282857,1,27
4155.83874085245,0,0,4452.09122351414,1,1,4452.09122351414,1,2,4452.09122351414,1,3,4452.09122351414,1,4,4452.09122351414,1,5,4452.09122351414,1,6,4452.09122351414,1,7,4452.09122351414,1,8,4452.09122351414,1,9,4452.09122351414,1,10,4452.09122351414,1,11,4452.09122351414,1,12,4452.09122351414,1,13,4452.09122351414,1,14,4452.09122351414,1,15,4452.09122351414,1,16,4452.09122351414,1,17,4452.09122351414,1,18,4452.09122351414,1,19,4452.09122351414,1,20,4452.09122351414,1,21,4452.09122351414,1,22,4452.09122351414,1,23,4452.09122351414,1,24,4452.09122351414,1,25,4452.09122351414,1,26,4452.09122351414,1,27
3785.45713979052,0,0,4126.9352734041,1,1,4126.9352734041,1,2,4126.9352734041,1,3,4126.9352734041,1,4,4126.9352734041,1,5,4126.9352734041,1,6,4126.9352734041,1,7,4126.9352734041,1,8,4126.9352734041,1,9,4126.9352734041,1,10,4126.9352734041,1,11,4126.9352734041,1,12,4126.9352734041,1,13,4126.9352734041,1,14,4126.9352734041,1,15,4126.9352734041,1,16,4126.9352734041,1,17,4126.9352734041,1,18,4126.9352734041,1,19,4126.9352734041,1,20,4126.9352734041,1,21,4126.9352734041,1,22,4126.9352734041,1,23,4126.9352734041,1,24,4126.9352734041,1,25,4126.9352734041,1,26,4126.9352734041,1,27
3470.24888080377,0,0,3838.1431454823,1,1,3838.1431454823,1,2,3838.1431454823,1,3,3838.1431454823,1,4,3838.1431454823,1,5,3838.1431454823,1,6,3838.1431454823,1,7,3838.1431454823,1,8,3838.1431454823,1,9,3838.1431454823,1,10,3838.1431454823,1,11,3838.1431454823,1,12,3838.1431454823,1,13,3838.1431454823,1,14,3838.1431454823,1,15,3838.1431454823,1,16,3838.1431454823,1,17,3838.1431454823,1,18,3838.1431454823,1,19,3838.1431454823,1,20,3838.1431454823,1,21,3838.1431454823,1,22,3838.1431454823,1,23,3838.1431454823,1,24,3838.1431454823,1,25,3838.1431454823,1,26,3838.1431454823,1,27
3199.60668700523,0,0,3580.09251738974,1,1,3580.09251738974,1,2,3580.09251738974,1,3,3580.09251738974,1,4,3580.09251738974,1,5,3580.09251738974,1,6,3580.09251738974,1,7,3580.09251738974,1,8,3580.09251738974,1,9,3580.09251738974,1,10,3580.09251738974,1,11,3580.09251738974,1,12,3580.09251738974,1,13,3580.09251738974,1,14,3580.09251738974,1,15,3580.09251738974,1,16,3580.09251738974,1,17,3580.09251738974,1,18,3580.09251738974,1,19,3580.09251738974,1,20,3580.09251738974,1,21,3580.09251738974,1,22,3580.09251738974,1,23,3580.09251738974,1,24,3580.09251738974,1,25,3580.09251738974,1,26,3580.09251738974,1,27
2966.89959519958,0,0,3350.29504220867,1,1,3350.29504220867,1,2,3350.29504220867,1,3,3350.29504220867,1,4,3350.29504220867,1,5,3350.29504220867,1,6,3350.29504220867,1,7,3350.29504220867,1,8,3350.29504220867,1,9,3350.29504220867,1,10,3350.29504220867,1,11,3350.29504220867,1,12,3350.29504220867,1,13,3350.29504220867,1,14,3350.29504220867,1,15,3350.29504220867,1,16,3350.29504220867,1,17,3350.29504220867,1,18,3350.29504220867,1,19,3350.29504220867,1,20,3350.29504220867,1,21,3350.29504220867,1,22,3350.29504220867,1,23,3350.29504220867,1,24,3350.29504220867,1,25,3350.29504220867,1,26,3350.29504220867,1,27
2768.30484633764,0,0,3147.791213527,1,1,3147.791213527,1,2,3147.791213527,1,3,3147.791213527,1,4,3147.791213527,1,5,3147.791213527,1,6,3147.791213527,1,7,3147.791213527,1,8,3147.791213527,1,9,3147.791213527,1,10,3147.791213527,1,11,3147.791213527,1,12,3147.791213527,1,13,3147.791213527,1,14,3147.791213527,1,15,3147.791213527,1,16,3147.791213527,1,17,3147.791213527,1,18,3147.791213527,1,19,3147.791213527,1,20,3147.791213527,1,21,3147.791213527,1,22,3147.791213527,1,23,3147.791213527,1,24,3147.791213527,1,25,3147.791213527,1,26,3147.791213527,1,27
2598.52119952808,0,0,2968.98481258747,1,1,2968.98481258747,1,2,2968.98481258747,1,3,2968.98481258747,1,4,2968.98481258747,1,5,2968.98481258747,1,6,2968.98481258747,1,7,2968.98481258747,1,8,2968.98481258747,1,9,2968.98481258747,1,10,2968.98481258747,1,11,2968.98481258747,1,12,2968.98481258747,1,13,2968.98481258747,1,14,2968.98481258747,1,15,2968.98481258747,1,16,2968.98481258747,1,17,2968.98481258747,1,18,2968.98481258747,1,19,2968.98481258747,1,20,2968.98481258747,1,21,2968.98481258747,1,22,2968.98481258747,1,23,2968.98481258747,1,24,2968.98481258747,1,25,2968.98481258747,1,26,2968.98481258747,1,27
