"","","","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count"
837.553405169662,0,0,837.553405169662,1,1,837.553405169662,1,2,837.553405169662,1,3,837.553405169662,1,4,837.553405169662,1,5,837.553405169662,1,6,837.553405169662,1,7,837.553405169662,1,8,837.553405169662,1,9,837.553405169662,1,10,837.553405169662,1,11,837.553405169662,1,12,837.553405169662,1,13,837.553405169662,1,14,837.553405169662,1,15,837.553405169662,1,16,837.553405169662,1,17,837.553405169662,1,18,837.553405169662,1,19,837.553405169662,1,20,837.553405169662,1,21,837.553405169662,1,22,837.553405169662,1,23,837.553405169662,1,24,837.553405169662,1,25,837.553405169662,1,26,837.553405169662,1,27,837.553405169662,1,28,837.553405169662,1,29,837.553405169662,1,30,837.553405169662,1,31,837.553405169662,1,32,837.553405169662,1,33,837.553405169662,1,34,837.553405169662,1,35,837.553405169662,1,36,837.553405169662,1,37,837.553405169662,1,38,837.553405169662,1,39,837.553405169662,1,40,837.553405169662,1,41,837.553405169662,1,42,837.553405169662,1,43,837.553405169662,1,44,837.553405169662,1,45,837.553405169662,1,46,837.553405169662,1,47,837.553405169662,1,48,837.553405169662,1,49,837.553405169662,1,50,837.553405169662,1,51,837.553405169662,1,52,837.553405169662,1,53,837.553405169662,1,54,837.553405169662,1,55,837.553405169662,1,56,837.553405169662,1,57,837.553405169662,1,58,837.553405169662,1,59,837.553405169662,1,60,837.553405169662,1,61,837.553405169662,1,62,837.553405169662,1,63,837.553405169662,1,64,837.553405169662,1,65,837.553405169662,1,66,837.553405169662,1,67,837.553405169662,1,68,837.553405169662,1,69,837.553405169662,1,70,837.553405169662,1,71,837.553405169662,1,72,837.553405169662,1,73,837.553405169662,1,74,837.553405169662,1,75,837.553405169662,1,76,837.553405169662,1,77,837.553405169662,1,78,837.553405169662,1,79,837.553405169662,1,80,837.553405169662,1,81
1314.02747154617,0,0,1314.02747154617,1,1,1314.02747154617,1,2,1314.02747154617,1,3,1314.02747154617,1,4,1314.02747154617,1,5,1314.02747154617,1,6,1314.02747154617,1,7,1314.02747154617,1,8,1314.02747154617,1,9,1314.02747154617,1,10,1314.02747154617,1,11,1314.02747154617,1,12,1314.02747154617,1,13,1314.02747154617,1,14,1314.02747154617,1,15,1314.02747154617,1,16,1314.02747154617,1,17,1314.02747154617,1,18,1314.02747154617,1,19,1314.02747154617,1,20,1314.02747154617,1,21,1314.02747154617,1,22,1314.02747154617,1,23,1314.02747154617,1,24,1314.02747154617,1,25,1314.02747154617,1,26,1314.02747154617,1,27,1314.02747154617,1,28,1314.02747154617,1,29,1314.02747154617,1,30,1314.02747154617,1,31,1314.02747154617,1,32,1314.02747154617,1,33,1314.02747154617,1,34,1314.02747154617,1,35,1314.02747154617,1,36,1314.02747154617,1,37,1314.02747154617,1,38,1314.02747154617,1,39,1314.02747154617,1,40,1314.02747154617,1,41,1314.02747154617,1,42,1314.02747154617,1,43,1314.02747154617,1,44,1314.02747154617,1,45,1314.02747154617,1,46,1314.02747154617,1,47,1314.02747154617,1,48,1314.02747154617,1,49,1314.02747154617,1,50,1314.02747154617,1,51,1314.02747154617,1,52,1314.02747154617,1,53,1314.02747154617,1,54,1314.02747154617,1,55,1314.02747154617,1,56,1314.02747154617,1,57,1314.02747154617,1,58,1314.02747154617,1,59,1314.02747154617,1,60,1314.02747154617,1,61,1314.02747154617,1,62,1314.02747154617,1,63,1314.02747154617,1,64,1314.02747154617,1,65,1314.02747154617,1,66,1314.02747154617,1,67,1314.02747154617,1,68,1314.02747154617,1,69,1314.02747154617,1,70,1314.02747154617,1,71,1314.02747154617,1,72,1314.02747154617,1,73,1314.02747154617,1,74,1314.02747154617,1,75,1314.02747154617,1,76,1314.02747154617,1,77,1314.02747154617,1,78,1314.02747154617,1,79,1314.02747154617,1,80,1314.02747154617,1,81
943.869904882961,0,0,943.869904882961,1,1,943.869904882961,1,2,943.869904882961,1,3,943.869904882961,1,4,943.869904882961,1,5,943.869904882961,1,6,943.869904882961,1,7,943.869904882961,1,8,943.869904882961,1,9,943.869904882961,1,10,943.869904882961,1,11,943.869904882961,1,12,943.869904882961,1,13,943.869904882961,1,14,943.869904882961,1,15,943.869904882961,1,16,943.869904882961,1,17,943.869904882961,1,18,943.869904882961,1,19,943.869904882961,1,20,943.869904882961,1,21,943.869904882961,1,22,943.869904882961,1,23,943.869904882961,1,24,943.869904882961,1,25,943.869904882961,1,26,943.869904882961,1,27,943.869904882961,1,28,943.869904882961,1,29,943.869904882961,1,30,943.869904882961,1,31,943.869904882961,1,32,943.869904882961,1,33,943.869904882961,1,34,943.869904882961,1,35,943.869904882961,1,36,943.869904882961,1,37,943.869904882961,1,38,943.869904882961,1,39,943.869904882961,1,40,943.869904882961,1,41,943.869904882961,1,42,943.869904882961,1,43,943.869904882961,1,44,943.869904882961,1,45,943.869904882961,1,46,943.869904882961,1,47,943.869904882961,1,48,943.869904882961,1,49,943.869904882961,1,50,943.869904882961,1,51,943.869904882961,1,52,943.869904882961,1,53,943.869904882961,1,54,943.869904882961,1,55,943.869904882961,1,56,943.869904882961,1,57,943.869904882961,1,58,943.869904882961,1,59,943.869904882961,1,60,943.869904882961,1,61,943.869904882961,1,62,943.869904882961,1,63,943.869904882961,1,64,943.869904882961,1,65,943.869904882961,1,66,943.869904882961,1,67,943.869904882961,1,68,943.869904882961,1,69,943.869904882961,1,70,943.869904882961,1,71,943.869904882961,1,72,943.869904882961,1,73,943.869904882961,1,74,943.869904882961,1,75,943.869904882961,1,76,943.869904882961,1,77,943.869904882961,1,78,943.869904882961,1,79,943.869904882961,1,80,943.869904882961,1,81
689.912690604744,0,0,689.912690604744,1,1,689.912690604744,1,2,689.912690604744,1,3,689.912690604744,1,4,689.912690604744,1,5,689.912690604744,1,6,689.912690604744,1,7,689.912690604744,1,8,689.912690604744,1,9,689.912690604744,1,10,689.912690604744,1,11,689.912690604744,1,12,689.912690604744,1,13,689.912690604744,1,14,689.912690604744,1,15,689.912690604744,1,16,689.912690604744,1,17,689.912690604744,1,18,689.912690604744,1,19,689.912690604744,1,20,689.912690604744,1,21,689.912690604744,1,22,689.912690604744,1,23,689.912690604744,1,24,689.912690604744,1,25,689.912690604744,1,26,689.912690604744,1,27,689.912690604744,1,28,689.912690604744,1,29,689.912690604744,1,30,689.912690604744,1,31,689.912690604744,1,32,689.912690604744,1,33,689.912690604744,1,34,689.912690604744,1,35,689.912690604744,1,36,689.912690604744,1,37,689.912690604744,1,38,689.912690604744,1,39,689.912690604744,1,40,689.912690604744,1,41,689.912690604744,1,42,689.912690604744,1,43,689.912690604744,1,44,689.912690604744,1,45,689.912690604744,1,46,689.912690604744,1,47,689.912690604744,1,48,689.912690604744,1,49,689.912690604744,1,50,689.912690604744,1,51,689.912690604744,1,52,689.912690604744,1,53,689.912690604744,1,54,689.912690604744,1,55,689.912690604744,1,56,689.912690604744,1,57,689.912690604744,1,58,689.912690604744,1,59,689.912690604744,1,60,689.912690604744,1,61,689.912690604744,1,62,689.912690604744,1,63,689.912690604744,1,64,689.912690604744,1,65,689.912690604744,1,66,689.912690604744,1,67,689.912690604744,1,68,689.912690604744,1,69,689.912690604744,1,70,689.912690604744,1,71,689.912690604744,1,72,689.912690604744,1,73,689.912690604744,1,74,689.912690604744,1,75,689.912690604744,1,76,689.912690604744,1,77,689.912690604744,1,78,689.912690604744,1,79,689.912690604744,1,80,689.912690604744,1,81
514.848053757301,0,0,514.848053757301,1,1,514.848053757301,1,2,514.848053757301,1,3,514.848053757301,1,4,514.848053757301,1,5,514.848053757301,1,6,514.848053757301,1,7,514.848053757301,1,8,514.848053757301,1,9,514.848053757301,1,10,514.848053757301,1,11,514.848053757301,1,12,514.848053757301,1,13,514.848053757301,1,14,514.848053757301,1,15,514.848053757301,1,16,514.848053757301,1,17,514.848053757301,1,18,514.848053757301,1,19,514.848053757301,1,20,514.848053757301,1,21,514.848053757301,1,22,514.848053757301,1,23,514.848053757301,1,24,514.848053757301,1,25,514.848053757301,1,26,514.848053757301,1,27,514.848053757301,1,28,514.848053757301,1,29,514.848053757301,1,30,514.848053757301,1,31,514.848053757301,1,32,514.848053757301,1,33,514.848053757301,1,34,514.848053757301,1,35,514.848053757301,1,36,514.848053757301,1,37,514.848053757301,1,38,514.848053757301,1,39,514.848053757301,1,40,514.848053757301,1,41,514.848053757301,1,42,514.848053757301,1,43,514.848053757301,1,44,514.848053757301,1,45,514.848053757301,1,46,514.848053757301,1,47,514.848053757301,1,48,514.848053757301,1,49,514.848053757301,1,50,514.848053757301,1,51,514.848053757301,1,52,514.848053757301,1,53,514.848053757301,1,54,514.848053757301,1,55,514.848053757301,1,56,514.848053757301,1,57,514.848053757301,1,58,514.848053757301,1,59,514.848053757301,1,60,514.848053757301,1,61,514.848053757301,1,62,514.848053757301,1,63,514.848053757301,1,64,514.848053757301,1,65,514.848053757301,1,66,514.848053757301,1,67,514.848053757301,1,68,514.848053757301,1,69,514.848053757301,1,70,514.848053757301,1,71,514.848053757301,1,72,514.848053757301,1,73,514.848053757301,1,74,514.848053757301,1,75,514.848053757301,1,76,514.848053757301,1,77,514.848053757301,1,78,514.848053757301,1,79,514.848053757301,1,80,514.848053757301,1,81
393.294197093312,0,0,393.294197093312,1,1,393.294197093312,1,2,393.294197093312,1,3,393.294197093312,1,4,393.294197093312,1,5,393.294197093312,1,6,393.294197093312,1,7,393.294197093312,1,8,393.294197093312,1,9,393.294197093312,1,10,393.294197093312,1,11,393.294197093312,1,12,393.294197093312,1,13,393.294197093312,1,14,393.294197093312,1,15,393.294197093312,1,16,393.294197093312,1,17,393.294197093312,1,18,393.294197093312,1,19,393.294197093312,1,20,393.294197093312,1,21,393.294197093312,1,22,393.294197093312,1,23,393.294197093312,1,24,393.294197093312,1,25,393.294197093312,1,26,393.294197093312,1,27,393.294197093312,1,28,393.294197093312,1,29,393.294197093312,1,30,393.294197093312,1,31,393.294197093312,1,32,393.294197093312,1,33,393.294197093312,1,34,393.294197093312,1,35,393.294197093312,1,36,393.294197093312,1,37,393.294197093312,1,38,393.294197093312,1,39,393.294197093312,1,40,393.294197093312,1,41,393.294197093312,1,42,393.294197093312,1,43,393.294197093312,1,44,393.294197093312,1,45,393.294197093312,1,46,393.294197093312,1,47,393.294197093312,1,48,393.294197093312,1,49,393.294197093312,1,50,393.294197093312,1,51,393.294197093312,1,52,393.294197093312,1,53,393.294197093312,1,54,393.294197093312,1,55,393.294197093312,1,56,393.294197093312,1,57,393.294197093312,1,58,393.294197093312,1,59,393.294197093312,1,60,393.294197093312,1,61,393.294197093312,1,62,393.294197093312,1,63,393.294197093312,1,64,393.294197093312,1,65,393.294197093312,1,66,393.294197093312,1,67,393.294197093312,1,68,393.294197093312,1,69,393.294197093312,1,70,393.294197093312,1,71,393.294197093312,1,72,393.294197093312,1,73,393.294197093312,1,74,393.294197093312,1,75,393.294197093312,1,76,393.294197093312,1,77,393.294197093312,1,78,393.294197093312,1,79,393.294197093312,1,80,393.294197093312,1,81
308.087519799014,0,0,308.087519799014,1,1,308.087519799014,1,2,308.087519799014,1,3,308.087519799014,1,4,308.087519799014,1,5,308.087519799014,1,6,308.087519799014,1,7,308.087519799014,1,8,308.087519799014,1,9,308.087519799014,1,10,308.087519799014,1,11,308.087519799014,1,12,308.087519799014,1,13,308.087519799014,1,14,308.087519799014,1,15,308.087519799014,1,16,308.087519799014,1,17,308.087519799014,1,18,308.087519799014,1,19,308.087519799014,1,20,308.087519799014,1,21,308.087519799014,1,22,308.087519799014,1,23,308.087519799014,1,24,308.087519799014,1,25,308.087519799014,1,26,308.087519799014,1,27,308.087519799014,1,28,308.087519799014,1,29,308.087519799014,1,30,308.087519799014,1,31,308.087519799014,1,32,308.087519799014,1,33,308.087519799014,1,34,308.087519799014,1,35,308.087519799014,1,36,308.087519799014,1,37,308.087519799014,1,38,308.087519799014,1,39,308.087519799014,1,40,308.087519799014,1,41,308.087519799014,1,42,308.087519799014,1,43,308.087519799014,1,44,308.087519799014,1,45,308.087519799014,1,46,308.087519799014,1,47,308.087519799014,1,48,308.087519799014,1,49,308.087519799014,1,50,308.087519799014,1,51,308.087519799014,1,52,308.087519799014,1,53,308.087519799014,1,54,308.087519799014,1,55,308.087519799014,1,56,308.087519799014,1,57,308.087519799014,1,58,308.087519799014,1,59,308.087519799014,1,60,308.087519799014,1,61,308.087519799014,1,62,308.087519799014,1,63,308.087519799014,1,64,308.087519799014,1,65,308.087519799014,1,66,308.087519799014,1,67,308.087519799014,1,68,308.087519799014,1,69,308.087519799014,1,70,308.087519799014,1,71,308.087519799014,1,72,308.087519799014,1,73,308.087519799014,1,74,308.087519799014,1,75,308.087519799014,1,76,308.087519799014,1,77,308.087519799014,1,78,308.087519799014,1,79,308.087519799014,1,80,308.087519799014,1,81
247.643620552092,0,0,247.643620552092,1,1,247.643620552092,1,2,247.643620552092,1,3,247.643620552092,1,4,247.643620552092,1,5,247.643620552092,1,6,247.643620552092,1,7,247.643620552092,1,8,247.643620552092,1,9,247.643620552092,1,10,247.643620552092,1,11,247.643620552092,1,12,247.643620552092,1,13,247.643620552092,1,14,247.643620552092,1,15,247.643620552092,1,16,247.643620552092,1,17,247.643620552092,1,18,247.643620552092,1,19,247.643620552092,1,20,247.643620552092,1,21,247.643620552092,1,22,247.643620552092,1,23,247.643620552092,1,24,247.643620552092,1,25,247.643620552092,1,26,247.643620552092,1,27,247.643620552092,1,28,247.643620552092,1,29,247.643620552092,1,30,247.643620552092,1,31,247.643620552092,1,32,247.643620552092,1,33,247.643620552092,1,34,247.643620552092,1,35,247.643620552092,1,36,247.643620552092,1,37,247.643620552092,1,38,247.643620552092,1,39,247.643620552092,1,40,247.643620552092,1,41,247.643620552092,1,42,247.643620552092,1,43,247.643620552092,1,44,247.643620552092,1,45,247.643620552092,1,46,247.643620552092,1,47,247.643620552092,1,48,247.643620552092,1,49,247.643620552092,1,50,247.643620552092,1,51,247.643620552092,1,52,247.643620552092,1,53,247.643620552092,1,54,247.643620552092,1,55,247.643620552092,1,56,247.643620552092,1,57,247.643620552092,1,58,247.643620552092,1,59,247.643620552092,1,60,247.643620552092,1,61,247.643620552092,1,62,247.643620552092,1,63,247.643620552092,1,64,247.643620552092,1,65,247.643620552092,1,66,247.643620552092,1,67,247.643620552092,1,68,247.643620552092,1,69,247.643620552092,1,70,247.643620552092,1,71,247.643620552092,1,72,247.643620552092,1,73,247.643620552092,1,74,247.643620552092,1,75,247.643620552092,1,76,247.643620552092,1,77,247.643620552092,1,78,247.643620552092,1,79,247.643620552092,1,80,247.643620552092,1,81
204.160983821666,0,0,204.160983821666,1,1,204.160983821666,1,2,204.160983821666,1,3,204.160983821666,1,4,204.160983821666,1,5,204.160983821666,1,6,204.160983821666,1,7,204.160983821666,1,8,204.160983821666,1,9,204.160983821666,1,10,204.160983821666,1,11,204.160983821666,1,12,204.160983821666,1,13,204.160983821666,1,14,204.160983821666,1,15,204.160983821666,1,16,204.160983821666,1,17,204.160983821666,1,18,204.160983821666,1,19,204.160983821666,1,20,204.160983821666,1,21,204.160983821666,1,22,204.160983821666,1,23,204.160983821666,1,24,204.160983821666,1,25,204.160983821666,1,26,204.160983821666,1,27,204.160983821666,1,28,204.160983821666,1,29,204.160983821666,1,30,204.160983821666,1,31,204.160983821666,1,32,204.160983821666,1,33,204.160983821666,1,34,204.160983821666,1,35,204.160983821666,1,36,204.160983821666,1,37,204.160983821666,1,38,204.160983821666,1,39,204.160983821666,1,40,204.160983821666,1,41,204.160983821666,1,42,204.160983821666,1,43,204.160983821666,1,44,204.160983821666,1,45,204.160983821666,1,46,204.160983821666,1,47,204.160983821666,1,48,204.160983821666,1,49,204.160983821666,1,50,204.160983821666,1,51,204.160983821666,1,52,204.160983821666,1,53,204.160983821666,1,54,204.160983821666,1,55,204.160983821666,1,56,204.160983821666,1,57,204.160983821666,1,58,204.160983821666,1,59,204.160983821666,1,60,204.160983821666,1,61,204.160983821666,1,62,204.160983821666,1,63,204.160983821666,1,64,204.160983821666,1,65,204.160983821666,1,66,204.160983821666,1,67,204.160983821666,1,68,204.160983821666,1,69,204.160983821666,1,70,204.160983821666,1,71,204.160983821666,1,72,204.160983821666,1,73,204.160983821666,1,74,204.160983821666,1,75,204.160983821666,1,76,204.160983821666,1,77,204.160983821666,1,78,204.160983821666,1,79,204.160983821666,1,80,204.160983821666,1,81
172.324251699454,0,0,172.324251699454,1,1,172.324251699454,1,2,172.324251699454,1,3,172.324251699454,1,4,172.324251699454,1,5,172.324251699454,1,6,172.324251699454,1,7,172.324251699454,1,8,172.324251699454,1,9,172.324251699454,1,10,172.324251699454,1,11,172.324251699454,1,12,172.324251699454,1,13,172.324251699454,1,14,172.324251699454,1,15,172.324251699454,1,16,172.324251699454,1,17,172.324251699454,1,18,172.324251699454,1,19,172.324251699454,1,20,172.324251699454,1,21,172.324251699454,1,22,172.324251699454,1,23,172.324251699454,1,24,172.324251699454,1,25,172.324251699454,1,26,172.324251699454,1,27,172.324251699454,1,28,172.324251699454,1,29,172.324251699454,1,30,172.324251699454,1,31,172.324251699454,1,32,172.324251699454,1,33,172.324251699454,1,34,172.324251699454,1,35,172.324251699454,1,36,172.324251699454,1,37,172.324251699454,1,38,172.324251699454,1,39,172.324251699454,1,40,172.324251699454,1,41,172.324251699454,1,42,172.324251699454,1,43,172.324251699454,1,44,172.324251699454,1,45,172.324251699454,1,46,172.324251699454,1,47,172.324251699454,1,48,172.324251699454,1,49,172.324251699454,1,50,172.324251699454,1,51,172.324251699454,1,52,172.324251699454,1,53,172.324251699454,1,54,172.324251699454,1,55,172.324251699454,1,56,172.324251699454,1,57,172.324251699454,1,58,172.324251699454,1,59,172.324251699454,1,60,172.324251699454,1,61,172.324251699454,1,62,172.324251699454,1,63,172.324251699454,1,64,172.324251699454,1,65,172.324251699454,1,66,172.324251699454,1,67,172.324251699454,1,68,172.324251699454,1,69,172.324251699454,1,70,172.324251699454,1,71,172.324251699454,1,72,172.324251699454,1,73,172.324251699454,1,74,172.324251699454,1,75,172.324251699454,1,76,172.324251699454,1,77,172.324251699454,1,78,172.324251699454,1,79,172.324251699454,1,80,172.324251699454,1,81
