"","","","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count"
837.553405169662,0,0,469.864760893565,1,1,469.864760893565,1,2,469.864760893565,1,3,469.864760893565,1,4,469.864760893565,1,5,469.864760893565,1,6,469.864760893565,1,7,469.864760893565,1,8,469.864760893565,1,9,469.864760893565,1,10,469.864760893565,1,11,469.864760893565,1,12,469.864760893565,1,13,469.864760893565,1,14,469.864760893565,1,15,469.864760893565,1,16,469.864760893565,1,17,469.864760893565,1,18,469.864760893565,1,19,469.864760893565,1,20,469.864760893565,1,21,469.864760893565,1,22,469.864760893565,1,23,469.864760893565,1,24,469.864760893565,1,25,469.864760893565,1,26,469.864760893565,1,27
1314.02747154617,0,0,809.93255305173,1,1,809.93255305173,1,2,809.93255305173,1,3,809.93255305173,1,4,809.93255305173,1,5,809.93255305173,1,6,809.93255305173,1,7,809.93255305173,1,8,809.93255305173,1,9,809.93255305173,1,10,809.93255305173,1,11,809.93255305173,1,12,809.93255305173,1,13,809.93255305173,1,14,809.93255305173,1,15,809.93255305173,1,16,809.93255305173,1,17,809.93255305173,1,18,809.93255305173,1,19,809.93255305173,1,20,809.93255305173,1,21,809.93255305173,1,22,809.93255305173,1,23,809.93255305173,1,24,809.93255305173,1,25,809.93255305173,1,26,809.93255305173,1,27
943.869904882961,0,0,663.543292662468,1,1,663.543292662468,1,2,663.543292662468,1,3,663.543292662468,1,4,663.543292662468,1,5,663.543292662468,1,6,663.543292662468,1,7,663.543292662468,1,8,663.543292662468,1,9,663.543292662468,1,10,663.543292662468,1,11,663.543292662468,1,12,663.543292662468,1,13,663.543292662468,1,14,663.543292662468,1,15,663.543292662468,1,16,663.543292662468,1,17,663.543292662468,1,18,663.543292662468,1,19,663.543292662468,1,20,663.543292662468,1,21,663.543292662468,1,22,663.543292662468,1,23,663.543292662468,1,24,663.543292662468,1,25,663.543292662468,1,26,663.543292662468,1,27
689.912690604744,0,0,548.789953609199,1,1,548.789953609199,1,2,548.789953609199,1,3,548.789953609199,1,4,548.789953609199,1,5,548.789953609199,1,6,548.789953609199,1,7,548.789953609199,1,8,548.789953609199,1,9,548.789953609199,1,10,548.789953609199,1,11,548.789953609199,1,12,548.789953609199,1,13,548.789953609199,1,14,548.789953609199,1,15,548.789953609199,1,16,548.789953609199,1,17,548.789953609199,1,18,548.789953609199,1,19,548.789953609199,1,20,548.789953609199,1,21,548.789953609199,1,22,548.789953609199,1,23,548.789953609199,1,24,548.789953609199,1,25,548.789953609199,1,26,548.789953609199,1,27
514.848053757301,0,0,458.490509556102,1,1,458.490509556102,1,2,458.490509556102,1,3,458.490509556102,1,4,458.490509556102,1,5,458.490509556102,1,6,458.490509556102,1,7,458.490509556102,1,8,458.490509556102,1,9,458.490509556102,1,10,458.490509556102,1,11,458.490509556102,1,12,458.490509556102,1,13,458.490509556102,1,14,458.490509556102,1,15,458.490509556102,1,16,458.490509556102,1,17,458.490509556102,1,18,458.490509556102,1,19,458.490509556102,1,20,458.490509556102,1,21,458.490509556102,1,22,458.490509556102,1,23,458.490509556102,1,24,458.490509556102,1,25,458.490509556102,1,26,458.490509556102,1,27
393.294197093312,0,0,387.068853446212,1,1,387.068853446212,1,2,387.068853446212,1,3,387.068853446212,1,4,387.068853446212,1,5,387.068853446212,1,6,387.068853446212,1,7,387.068853446212,1,8,387.068853446212,1,9,387.068853446212,1,10,387.068853446212,1,11,387.068853446212,1,12,387.068853446212,1,13,387.068853446212,1,14,387.068853446212,1,15,387.068853446212,1,16,387.068853446212,1,17,387.068853446212,1,18,387.068853446212,1,19,387.068853446212,1,20,387.068853446212,1,21,387.068853446212,1,22,387.068853446212,1,23,387.068853446212,1,24,387.068853446212,1,25,387.068853446212,1,26,387.068853446212,1,27
308.087519799014,0,0,330.236460137111,1,1,330.236460137111,1,2,330.236460137111,1,3,330.236460137111,1,4,330.236460137111,1,5,330.236460137111,1,6,330.236460137111,1,7,330.236460137111,1,8,330.236460137111,1,9,330.236460137111,1,10,330.236460137111,1,11,330.236460137111,1,12,330.236460137111,1,13,330.236460137111,1,14,330.236460137111,1,15,330.236460137111,1,16,330.236460137111,1,17,330.236460137111,1,18,330.236460137111,1,19,330.236460137111,1,20,330.236460137111,1,21,330.236460137111,1,22,330.236460137111,1,23,330.236460137111,1,24,330.236460137111,1,25,330.236460137111,1,26,330.236460137111,1,27
247.643620552092,0,0,284.687416023455,1,1,284.687416023455,1,2,284.687416023455,1,3,284.687416023455,1,4,284.687416023455,1,5,284.687416023455,1,6,284.687416023455,1,7,284.687416023455,1,8,284.687416023455,1,9,284.687416023455,1,10,284.687416023455,1,11,284.687416023455,1,12,284.687416023455,1,13,284.687416023455,1,14,284.687416023455,1,15,284.687416023455,1,16,284.687416023455,1,17,284.687416023455,1,18,284.687416023455,1,19,284.687416023455,1,20,284.687416023455,1,21,284.687416023455,1,22,284.687416023455,1,23,284.687416023455,1,24,284.687416023455,1,25,284.687416023455,1,26,284.687416023455,1,27
204.160983821666,0,0,247.917956957153,1,1,247.917956957153,1,2,247.917956957153,1,3,247.917956957153,1,4,247.917956957153,1,5,247.917956957153,1,6,247.917956957153,1,7,247.917956957153,1,8,247.917956957153,1,9,247.917956957153,1,10,247.917956957153,1,11,247.917956957153,1,12,247.917956957153,1,13,247.917956957153,1,14,247.917956957153,1,15,247.917956957153,1,16,247.917956957153,1,17,247.917956957153,1,18,247.917956957153,1,19,247.917956957153,1,20,247.917956957153,1,21,247.917956957153,1,22,247.917956957153,1,23,247.917956957153,1,24,247.917956957153,1,25,247.917956957153,1,26,247.917956957153,1,27
172.324251699454,0,0,217.997684764623,1,1,217.997684764623,1,2,217.997684764623,1,3,217.997684764623,1,4,217.997684764623,1,5,217.997684764623,1,6,217.997684764623,1,7,217.997684764623,1,8,217.997684764623,1,9,217.997684764623,1,10,217.997684764623,1,11,217.997684764623,1,12,217.997684764623,1,13,217.997684764623,1,14,217.997684764623,1,15,217.997684764623,1,16,217.997684764623,1,17,217.997684764623,1,18,217.997684764623,1,19,217.997684764623,1,20,217.997684764623,1,21,217.997684764623,1,22,217.997684764623,1,23,217.997684764623,1,24,217.997684764623,1,25,217.997684764623,1,26,217.997684764623,1,27
