"redu","type","VE_I","VE_D","dur","count","run"
0,1,0,0,5,1,1
0,1,0,0,10,2,1
0,1,0,0,100,3,1
28.69,1,0,0.5,5,4,1
41.87,1,0,0.5,10,5,1
41.54,1,0,0.5,100,6,1
53.59,1,0,1,5,7,1
75.04,1,0,1,10,8,1
73.87,1,0,1,100,9,1
7.66,1,0.5,0,5,10,1
11.44,1,0.5,0,10,11,1
11.59,1,0.5,0,100,12,1
31.62,1,0.5,0.5,5,13,1
45.22,1,0.5,0.5,10,14,1
44.78,1,0.5,0.5,100,15,1
53.79,1,0.5,1,5,16,1
75.18,1,0.5,1,10,17,1
73.87,1,0.5,1,100,18,1
14.25,1,1,0,5,19,1
20.35,1,1,0,10,20,1
20.57,1,1,0,100,21,1
34.33,1,1,0.5,5,22,1
48.18,1,1,0.5,10,23,1
47.63,1,1,0.5,100,24,1
54,1,1,1,5,25,1
75.31,1,1,1,10,26,1
73.87,1,1,1,100,27,1
8.35,1,0,0,5,1,2
8.35,1,0,0,10,2,2
8.35,1,0,0,100,3,2
35.62,1,0,0.5,5,4,2
47.81,1,0,0.5,10,5,2
47.34,1,0,0.5,100,6,2
58.65,1,0,1,5,7,2
77.87,1,0,1,10,8,2
76.31,1,0,1,100,9,2
16.61,1,0.5,0,5,10,2
20.64,1,0.5,0,10,11,2
20.86,1,0.5,0,100,12,2
38.61,1,0.5,0.5,5,13,2
51.2,1,0.5,0.5,10,14,2
50.65,1,0.5,0.5,100,15,2
58.72,1,0.5,1,5,16,2
77.92,1,0.5,1,10,17,2
76.31,1,0.5,1,100,18,2
23.64,1,1,0,5,19,2
30.05,1,1,0,10,20,2
30.36,1,1,0,100,21,2
41.36,1,1,0.5,5,22,2
54.16,1,1,0.5,10,23,2
53.55,1,1,0.5,100,24,2
58.78,1,1,1,5,25,2
77.97,1,1,1,10,26,2
76.31,1,1,1,100,27,2
8.35,1,0,0,5,1,2
8.35,1,0,0,10,2,2
8.35,1,0,0,100,3,2
35.62,1,0,0.5,5,4,2
47.81,1,0,0.5,10,5,2
47.34,1,0,0.5,100,6,2
58.65,1,0,1,5,7,2
77.87,1,0,1,10,8,2
76.31,1,0,1,100,9,2
16.61,1,0.5,0,5,10,2
20.64,1,0.5,0,10,11,2
20.86,1,0.5,0,100,12,2
38.61,1,0.5,0.5,5,13,2
51.2,1,0.5,0.5,10,14,2
50.65,1,0.5,0.5,100,15,2
58.72,1,0.5,1,5,16,2
77.92,1,0.5,1,10,17,2
76.31,1,0.5,1,100,18,2
23.64,1,1,0,5,19,2
30.05,1,1,0,10,20,2
30.36,1,1,0,100,21,2
41.36,1,1,0.5,5,22,2
54.16,1,1,0.5,10,23,2
53.55,1,1,0.5,100,24,2
58.78,1,1,1,5,25,2
77.97,1,1,1,10,26,2
76.31,1,1,1,100,27,2
