PSIZE,S,Births,I,NI,L,R,new_I,new_NI,new_I_react,new_NI_react,Sv,Lv,Rv,TBItot,TBI0-14,TBI15-54,TBI55-64,TBI65+,TBI55+,TBI<55,TBNtot,TBN0-14,TBN15-54,TBN55-64,TBN65+,TBN55+,TBN<55,TBMtot,TBM0-14,TBM15-54,TBM55-64,TBM65+,TBM15-59,TBM60+,TBM55+,TBM<55,TBPtot,TBP0-14,TBP15-29,TBP30-44,TBP45-59,TBP60+,TBP55+,TBPbtot,TBPb0-14,TBPb15-29,TBPb30-44,TBPb45-59,TBPb60+,TBPb55+,TBPItot,TBPI0-14,TBPI15-54,TBPI55-64,TBPI65+,TBPI55+,TBPI5-9,TBPI10-19,TBPI20-29,TBPI30-39,TBPI40-49,TBPI50-59,TBPI60-69,TBPI70+,YearPsizetot,YearPsize0-14,YearPsize15-54,YearPsize55-64,YearPsize65+,YearPsize15-59,YearPsize15-29,YearPsize30-44,YearPsize45-59,YearPsize60+,YearPsize55+,YearPsize5-9,YearPsize10-19,YearPsize20-29,YearPsize30-39,YearPsize40-49,YearPsize50-59,YearPsize60-69,YearPsize70+,YearPsize55-74,YearPsize75+,YearPsize15-24,YearPsize25-54,TBI15-24,TBI25-54,TBM15-24,TBM25-54,TBPb15+,YearPsize15plus,TBRatot,TBRa0-14,TBRa15-54,TBRa55-64,TBRa65+,TBRitot,TBRi0-14,TBRi15-54,TBRi55-64,TBRi65+,TBPb30-59,Iv,NIv
1267142,114042.78,4400.975115,25342.84,25342.84,1013713.6,88699.94,0,0,0,0,0,0,0,221.5149375,52.60032267,310.4651968,353.5150062,282.1201927,325.1320792,208.4962424,133.4664132,32.59007959,197.1411374,173.117267,101.2999426,144.5663713,132.0717891,66.37495695,157.2629905,15.39811866,15.46886979,40.98238392,15.4019161,30.78712089,25.61173832,71.49654116,3809.23875,3718.189687,3840.281066,3840.222708,3865.493566,3955.336481,3946.810212,1906.172885,1838.316863,1932.464258,1932.465958,1947.604952,1996.962918,1993.321442,80.12324713,80.22164021,80.07734703,80.06211452,79.98973211,80.03349476,80.24282132,80.16996194,80.07729543,80.07740925,80.07759065,80.07040805,80.03131768,79.98962547,1261851.523,443285.61,677720.1769,84852.67388,55993.06229,725266.126,314958.2453,242531.3615,167776.5193,93299.78701,140845.7362,132292.9751,241106.301,196548.5527,169655.859,139086.0999,101565.9219,65198.3319,28101.45511,129092.0991,11753.63709,223539.9792,454180.1976,309.6439825,310.869385,15.38255577,15.40577846,1942.919588,818565.913,15.50545002,53.50540116,8.912024905,19.56589777,39.52739934,84.49454998,46.49459884,91.0879751,80.43410223,60.47260066,1938.656352,0,0
1256561.046,109186.914,4277.875807,22763.30316,22684.89121,1008346.188,93579.7501,2082.834961,869.5383079,245.107321,188.2994073,0,0,0,402.9550289,97.1441939,555.8478479,653.5315059,557.1185126,614.3401689,375.8577973,241.1384694,57.77433163,352.1986836,324.7736004,204.7811794,275.9973593,236.6699461,103.661319,239.9273399,27.18140057,29.2478313,77.98955387,27.32145441,58.65823191,49.06106611,110.6604661,3064.072015,2583.774354,3221.469407,3254.792683,3345.775003,3764.021108,3705.618367,1541.167642,1213.111192,1654.838585,1680.74414,1736.04844,1971.372123,1941.76344,78.88376605,76.15505414,80.37689752,80.28398715,79.97398512,80.15809897,81.03005983,80.82914648,80.35369206,80.35494323,80.3557173,80.32572765,80.161701,79.94415317,1267616.006,440881.8149,682703.0654,85483.28717,58547.83889,729865.0873,318450.5128,242562.8697,168851.7048,96869.10418,144031.1261,136744.2792,240406.8597,199716.1048,169520.8993,139439.747,102453.9282,66691.29191,30177.81227,131518.6108,12512.51523,225930.2526,456772.8129,525.998118,570.6122052,26.98187947,27.28008826,1716.113985,826734.1915,17.69083986,57.57667178,10.69297065,21.31357763,40.52731386,82.30916014,42.42332822,89.30702935,78.68642237,59.47268614,1703.441988,0,0
1272817.825,131514.255,26672,20504.9359,20333.70551,1002691.753,97773.17575,1934.266473,816.6438368,250.5241075,193.444789,0,0,0,360.4982293,90.32865516,489.3475692,590.9097323,527.8437349,564.6984559,333.8304647,213.6010536,51.09776182,309.2183639,293.2183683,193.4935782,251.7710886,208.6161938,74.09921741,162.7065209,23.1663121,27.24624783,76.36579629,23.41120416,57.24572697,47.66114833,77.5519276,2494.11558,1802.173115,2687.592128,2768.79135,2889.249856,3567.592769,3455.776875,1265.504349,798.3059131,1402.088859,1464.458719,1538.721323,1927.834912,1867.679431,77.61042744,71.98713553,80.63589023,80.45639986,79.96974253,80.25424383,81.56573582,81.3936999,80.5728963,80.5776188,80.57879443,80.53243363,80.27601384,79.8914568,1273792.002,439112.3913,687542.7768,85984.3209,61152.51293,734199.806,321927.5283,242495.143,169777.1347,100479.8047,147136.8338,143060.8694,239758.6614,203261.3607,169207.4162,139634.6463,103430.2152,68038.03245,32441.77224,133651.5519,13485.28193,227838.9809,459703.7959,451.8180402,507.9480022,22.62085738,23.43665107,1511.290421,834679.6106,20.61096691,61.00162871,13.03499687,24.54255675,43.7555286,79.38903309,38.99837129,86.96500313,75.45744325,56.2444714,1495.040674,0,0
1262414.187,127010.1383,26071.27936,18567.23955,18275.45366,997183.6621,101377.6938,1841.699763,782.1088794,264.3823934,195.28309,0,0,0,324.6253194,83.4812466,434.0568403,538.5195482,503.5018156,523.6506758,298.1431083,190.5597371,45.40425186,273.5312896,266.7967825,184.0750586,231.672328,185.089317,53.89119779,110.5726973,19.72786016,25.07059723,74.25424296,20.01598149,55.63041882,45.95445511,54.94725667,2054.220542,1264.177618,2235.674062,2364.899883,2491.885102,3372.843834,3208.595236,1054.421832,524.2076228,1180.214135,1278.93031,1358.391401,1872.614945,1780.766115,76.30725386,67.73165965,80.86264276,80.59370944,79.97191328,80.32978286,81.91908203,81.89128065,80.74691987,80.75802549,80.75946769,80.70333611,80.37667439,79.83280484,1280195.503,438031.4031,691825.8743,86503.14202,63835.08365,738267.6302,324917.2864,242570.5654,170779.7784,103896.4697,150338.2257,151386.6381,239658.9161,206677.5971,168918.0449,139933.6445,104498.6544,69177.71392,34718.75583,135664.7529,14673.47275,229048.7362,462777.1381,392.0632583,454.8413089,18.76910778,20.20238883,1330.200001,842164.0999,23.56020977,63.73637393,15.50340129,27.87231035,46.87559463,76.43979023,36.26362607,84.49659871,72.12768965,53.12440537,1311.760444,0,0
1278960.319,149729.063,26796,16858.3698,16450.94345,991450.5181,104471.4243,1719.70634,738.0129234,268.1350475,198.6509876,0,0,0,294.1959465,76.84313879,387.8088886,494.3843022,483.0544256,489.4764741,267.7009274,171.1743309,40.52465805,243.7323241,244.4979717,176.1146534,214.8759749,165.2450357,40.01266026,75.4539486,16.81102975,22.85629107,71.84241055,17.10572296,53.93990385,44.0758913,39.46137445,1711.677775,893.9561043,1858.228231,2028.804632,2149.222054,3184.689183,2970.996206,890.6044731,343.7903862,990.019926,1119.957733,1196.528249,1810.587311,1687.662218,74.98112275,63.41605626,81.06322353,80.70589426,79.97708806,80.39027846,82.14168179,82.3400281,80.88485655,80.90531255,80.90692664,80.8468611,80.46475138,79.7691229,1286712.881,437608.9214,695383.3046,87132.59147,66588.06386,742112.3799,327188.7361,242943.6243,171980.0195,106991.58,153720.6553,161878.4595,240555.8882,209642.2296,168798.0369,140480.1779,105645.429,70086.25273,36905.32724,137671.496,16049.15929,229506.0597,465877.2449,343.4918447,409.6408846,15.45746391,17.47783965,1172.420051,849103.9599,26.52599132,65.85784664,18.07914915,31.26755111,49.87496676,73.47400868,34.14215336,81.92085085,68.73244889,50.12503324,1151.695136,0,0
1268623.685,145548.849,26296.18529,15381.41658,14848.95973,985730.9734,107113.4867,1642.663016,706.9870631,280.8150411,198.8540321,0,0,0,268.3315589,70.49801624,348.9303564,457.0712402,465.7752766,460.9110049,241.6818946,154.8155364,36.29345284,218.7295556,225.5747918,169.3249075,200.7602905,148.4575772,30.41085774,51.83352199,14.35003697,20.705781,69.28609354,14.63337853,52.21932349,42.13686917,28.78818058,1442.635117,638.8304699,1545.675076,1748.719157,1855.980612,3006.195773,2747.886284,761.8523099,225.410533,829.3421507,983.8368323,1053.256264,1745.316737,1593.416653,73.63856325,59.05771752,81.24281144,80.79965959,79.98251238,80.43925619,82.30686005,82.7240566,80.99360706,81.02629463,81.02801368,80.96898614,80.54170897,79.70112108,1293269.004,437594.6211,698463.5784,87857.63598,69353.16889,745900.8456,328975.3821,243599.7769,173325.6867,109773.5376,157210.8049,179455.5578,242707.0942,212255.618,168820.9978,141236.359,106868.1067,70792.70067,38980.83695,139666.5321,17544.27275,229412.5412,469051.0372,303.6628065,371.070684,12.65631705,15.17843423,1036.190353,855674.3833,29.48477786,67.43340917,20.7400454,34.69581049,52.74160133,70.51522214,32.56659083,79.2599546,65.30418951,47.25839867,1012.696117,0,0
1285363.584,168649.8714,26928,14069.5132,13425.89,979847.0427,109371.2665,1541.687226,670.1165864,283.1887338,200.9461088,0,0,0,246.1603095,64.46816951,315.8867601,425.0001607,451.0277575,436.6789169,219.2599099,140.8914438,32.5732472,197.5305333,209.2989139,163.5182232,188.7568127,134.1330617,23.70257555,35.93458249,12.28416736,18.67489966,66.6393857,12.55277165,50.47865331,40.19688438,21.37365081,1229.537585,462.4317153,1288.383774,1514.870885,1612.584148,2829.642332,2541.472966,659.4630355,147.9305451,694.9132461,867.283968,931.4878373,1673.551769,1501.119653,72.28475576,54.66287861,81.40560471,80.87998222,79.98711322,80.4794214,72.0382575,82.99331166,81.14818941,81.12608451,81.12785811,81.06885015,80.60076551,79.65769676,1299806.087,437742.6796,701243.5067,88658.93892,72160.96184,749808.497,330479.2033,244539.1902,174790.1035,112254.9104,160819.9008,174428.9058,246428.8583,214555.7321,168933.9039,142224.687,108170.7028,71298.12845,40956.78196,141664.9555,19154.94531,228945.1288,472298.3778,270.8052854,337.7398608,10.31879889,13.23687344,919.2114498,862063.4074,32.42871374,68.49897201,23.47719781,38.14003457,55.46520615,67.57128626,31.50102799,76.52280219,61.85996543,44.53479385,894.0462313,0,0
1275027.422,164740.0856,26500.9726,12927.80855,12172.86626,973909.1526,111277.5091,1477.027835,642.3683153,294.9292535,200.0602289,0,0,0,227.1279231,58.96215155,287.5777982,397.3527553,438.44298,416.0641378,199.9240403,129.0074767,29.35383223,179.4169809,195.2291881,158.4949944,178.5014249,121.8811162,18.95810067,25.20665185,10.55265773,16.79520743,64.05037189,10.81299104,48.68810261,38.31393762,16.17116054,1059.32823,339.8156699,1077.365795,1319.10844,1409.809121,2660.459209,2353.247893,577.119759,97.31486269,583.1200074,767.3776807,827.7384531,1599.756505,1413.154971,70.92664545,50.23482284,81.55491644,80.94972706,79.98871084,80.51217902,60.76012338,83.17236239,81.33362797,81.20849312,81.21028552,81.15049688,80.64682562,79.62939186,1306268.095,437801.0272,704057.2038,89542.03672,74867.82777,753929.1256,331892.2922,245745.5089,176291.3246,114537.9426,164409.8645,167579.5679,252240.7071,216394.6397,169328.1138,143269.4455,109439.2741,71696.00096,42841.94166,143634.5269,20775.33754,228472.9415,475584.2623,243.296413,308.8507863,8.386093324,11.59348557,818.9931519,868467.0683,35.32806372,68.79471697,26.27907155,41.58015131,58.04881247,64.67193628,31.20528303,73.72092845,58.41984869,41.95118753,792.5913106,0,0
1291902.597,188185.9755,27064,11906.67948,11057.35473,967860.3661,112892.2217,1392.903038,611.4361765,296.1496843,201.2265679,0,0,0,210.8968478,53.82159663,263.4864967,373.7997812,427.8534083,398.703658,183.3667094,118.9351238,26.48738466,164.0347593,183.2004019,154.1969772,169.8377886,111.4734274,15.55352836,17.94248267,9.102436185,15.09634679,61.59024389,9.358404968,46.82489569,36.51726429,12.48050587,922.3902499,253.9371512,904.681672,1154.973706,1240.010606,2500.98211,2184.117804,510.2862039,64.28599728,490.4755087,681.7595029,738.9603539,1526.408427,1331.342314,69.57595312,45.77764144,81.69367216,81.01062535,79.98539177,80.53834542,47.94849496,83.28072761,81.53893759,81.27670068,81.27848667,81.21760925,80.68452708,79.61078099,1312634.53,437472.4037,707346.0107,90498.97511,77317.14023,758347.4555,333465.7706,247172.3664,177709.3185,116814.6706,167816.1153,158460.2973,260760.8488,217564.9555,170266.9477,144097.9317,110516.8055,72119.54783,44695.12274,145506.1176,22309.99776,228486.0089,478860.0018,220.3038709,284.0909025,6.802869682,10.19966454,733.2309322,875162.1261,38.12476216,68.3972799,29.09733295,44.9498645,60.45925021,61.87523784,31.6027201,70.90266705,55.0501355,39.54074979,705.6841026,0,0
1281523.165,184492.9886,26690.54175,11012.36547,10072.35715,961716.554,114228.8999,1338.502395,586.6910507,307.1380981,199.6156819,0,0,0,197.0227706,48.73877378,243.0402766,353.7840155,418.9665588,384.0725315,169.1688532,110.3985858,23.77709969,151.0033271,172.9585536,150.5500242,162.5459329,102.6332302,13.06581663,12.9850711,7.889200548,13.59254511,59.27177954,8.140710798,44.90156701,34.81841559,9.826597871,811.4301811,192.8983986,763.698136,1017.177868,1097.161825,2352.187512,2033.63396,455.6170835,42.71135098,413.9400754,608.4159713,662.7036082,1454.99086,1256.466199,68.23097492,41.24145518,81.82445948,81.06399169,79.97657607,80.55877007,32.57362616,83.33634832,81.7571368,81.33325295,81.3350138,81.27314663,80.71730202,79.5981889,1318893.847,436438.9061,711511.5652,91510.74104,79432.63513,763267.7154,335502.0104,248790.6246,178975.0804,119187.2259,170943.3762,146593.8143,272507.3748,218016.1593,171878.3488,144561.732,111325.6242,72650.69358,46536.53231,147235.3473,23708.02891,229423.8924,482087.6727,201.1983063,262.9527287,5.521548766,9.01595802,659.8293528,882454.9413,40.78138726,67.54269857,31.88675346,48.19595747,62.6810682,59.21861274,32.45730143,68.11324654,51.80404253,37.3189318,631.1296533,0,0
