PPI _ 0 _ 0 _ 2,PPI _ 0 _ 0 _ 3,PPI _ 0 _ 0 _ 5,PPI _ 0 _ 0 _ 7,PPI _ 0 _ 0 _ 10,PPI _ 0 _ 0 _ 15,PPI _ 0 _ 0 _ 20,PPI _ 0 _ 0 _ 25,PPI _ 0 _ 0 _ 100,PPI _ 0 _ 0.5 _ 2,PPI _ 0 _ 0.5 _ 3,PPI _ 0 _ 0.5 _ 5,PPI _ 0 _ 0.5 _ 7,PPI _ 0 _ 0.5 _ 10,PPI _ 0 _ 0.5 _ 15,PPI _ 0 _ 0.5 _ 20,PPI _ 0 _ 0.5 _ 25,PPI _ 0 _ 0.5 _ 100,PPI _ 0 _ 1 _ 2,PPI _ 0 _ 1 _ 3,PPI _ 0 _ 1 _ 5,PPI _ 0 _ 1 _ 7,PPI _ 0 _ 1 _ 10,PPI _ 0 _ 1 _ 15,PPI _ 0 _ 1 _ 20,PPI _ 0 _ 1 _ 25,PPI _ 0 _ 1 _ 100,PPI _ 0.5 _ 0 _ 2,PPI _ 0.5 _ 0 _ 3,PPI _ 0.5 _ 0 _ 5,PPI _ 0.5 _ 0 _ 7,PPI _ 0.5 _ 0 _ 10,PPI _ 0.5 _ 0 _ 15,PPI _ 0.5 _ 0 _ 20,PPI _ 0.5 _ 0 _ 25,PPI _ 0.5 _ 0 _ 100,PPI _ 0.5 _ 0.5 _ 2,PPI _ 0.5 _ 0.5 _ 3,PPI _ 0.5 _ 0.5 _ 5,PPI _ 0.5 _ 0.5 _ 7,PPI _ 0.5 _ 0.5 _ 10,PPI _ 0.5 _ 0.5 _ 15,PPI _ 0.5 _ 0.5 _ 20,PPI _ 0.5 _ 0.5 _ 25,PPI _ 0.5 _ 0.5 _ 100,PPI _ 0.5 _ 1 _ 2,PPI _ 0.5 _ 1 _ 3,PPI _ 0.5 _ 1 _ 5,PPI _ 0.5 _ 1 _ 7,PPI _ 0.5 _ 1 _ 10,PPI _ 0.5 _ 1 _ 15,PPI _ 0.5 _ 1 _ 20,PPI _ 0.5 _ 1 _ 25,PPI _ 0.5 _ 1 _ 100,PPI _ 1 _ 0 _ 2,PPI _ 1 _ 0 _ 3,PPI _ 1 _ 0 _ 5,PPI _ 1 _ 0 _ 7,PPI _ 1 _ 0 _ 10,PPI _ 1 _ 0 _ 15,PPI _ 1 _ 0 _ 20,PPI _ 1 _ 0 _ 25,PPI _ 1 _ 0 _ 100,PPI _ 1 _ 0.5 _ 2,PPI _ 1 _ 0.5 _ 3,PPI _ 1 _ 0.5 _ 5,PPI _ 1 _ 0.5 _ 7,PPI _ 1 _ 0.5 _ 10,PPI _ 1 _ 0.5 _ 15,PPI _ 1 _ 0.5 _ 20,PPI _ 1 _ 0.5 _ 25,PPI _ 1 _ 0.5 _ 100,PPI _ 1 _ 1 _ 2,PPI _ 1 _ 1 _ 3,PPI _ 1 _ 1 _ 5,PPI _ 1 _ 1 _ 7,PPI _ 1 _ 1 _ 10,PPI _ 1 _ 1 _ 15,PPI _ 1 _ 1 _ 20,PPI _ 1 _ 1 _ 25,PPI _ 1 _ 1 _ 100
-2.35E-14,0,-2.35E-14,-2.35E-14,-2.35E-14,-2.35E-14,0,-2.35E-14,1.18E-14,4.779935803,7.184156922,27.12786083,43.60200312,45.79912655,45.38138168,45.97013646,46.06402111,45.64975084,9.177509335,13.50302311,48.76978011,76.74795556,78.41550078,77.90299731,78.48846986,78.04773141,77.10137312,2.482685832,3.670694232,9.871069754,14.67063092,15.95670939,15.61152422,16.2964824,16.68687002,16.57060848,6.097710365,9.013359029,30.72376393,48.08273832,50.03350011,49.53265467,50.25243598,50.32024553,49.77602197,9.548148532,13.9893524,49.16184627,76.93372501,78.60816475,78.08704355,78.67719068,78.13951527,77.10137312,4.809775682,6.99047304,17.95083654,26.01928179,27.59508912,27.03699486,28.04058009,28.65784931,28.48174234,7.374819668,10.75564321,33.9763788,52.01648088,53.66004274,53.09820412,53.90790953,53.95516716,53.30004609,9.91916183,14.47633551,49.55462025,77.12003456,78.8015271,78.27188397,78.86682387,78.23177156,77.10137312
1.17E-14,0,3.50E-14,1.17E-14,1.17E-14,1.17E-14,1.17E-14,0,1.17E-14,17.80356468,26.50666382,42.35333065,47.75886144,55.52757125,55.43107459,55.77172006,56.21003179,55.4991508,33.12643418,47.46285033,70.49993623,76.88685282,85.76036733,85.61207419,85.70280664,85.7251584,85.12774393,10.29128621,15.24203083,24.20877872,27.25908662,30.58129495,30.58980012,31.15344119,31.96206283,31.13529089,22.43716126,32.72857236,50.41426957,55.96896933,63.22976966,63.12839533,63.50356245,64.05571702,63.17042495,33.49657216,47.83544973,70.69481975,77.0347277,85.85884556,85.70312947,85.76939095,85.7251584,85.12774393,19.65422009,28.4141595,43.2207507,47.65455157,51.75078886,51.74427405,52.43384432,53.77223107,52.43186589,26.84878335,38.49776732,57.51769313,63.0406778,69.62491749,69.52307823,69.89704366,70.55977236,69.53738995,33.8661672,48.20740985,70.88971567,77.18304713,85.95767901,85.79457539,85.83628982,85.7251584,85.12774393
0,0,0,-1.79E-14,-1.79E-14,-1.79E-14,-1.79E-14,0,-1.79E-14,12.52735014,18.91336461,42.88686612,57.34022388,62.53082925,60.44618329,63.59320639,65.21432153,64.36088241,23.84093522,35.06317887,70.56506557,87.30373534,90.86441783,89.03980437,91.43428734,92.30709402,91.16915875,6.422683129,9.627635648,26.7474939,39.27260905,41.97939098,39.61533886,43.96255703,46.52055063,45.73114419,15.60067468,23.18881693,51.84370406,68.55507427,72.70480941,70.17191862,74.10561065,76.08338061,74.9613475,24.25649865,35.58156237,70.93276194,87.48294178,91.03100103,89.23900116,91.60154973,92.35978862,91.16915875,12.38481248,18.20307423,47.57900901,67.56809821,70.11497722,66.31687984,72.87879387,76.89798594,75.66165405,18.56293609,27.22534568,59.71207919,78.0033125,81.00515815,78.14502265,82.62438078,84.89397112,83.5601543,24.67252152,36.10062478,71.30092522,87.6625503,91.19806138,89.43885939,91.76947198,92.41270131,91.16915875
-1.26E-14,0,2.52E-14,2.52E-14,2.52E-14,2.52E-14,2.52E-14,2.52E-14,2.52E-14,5.964724002,8.855319538,29.06800693,45.69721228,48.16996194,48.06841316,48.25602819,47.91974394,47.50802244,11.38686007,16.48971173,51.14093844,78.35253739,79.98595336,79.79366778,79.98487357,79.11383423,78.08777423,3.671587488,5.392863867,12.72822098,18.16993054,20.1183855,20.13615544,20.30394472,20.32485243,20.33056558,7.934140573,11.57694389,33.72747885,51.10230428,53.38373003,53.25633548,53.46245928,52.97044703,52.38264226,11.96821654,17.25570906,51.77521399,78.65308288,80.30355376,80.08867179,80.29721524,79.27539539,78.08777423,7.104017842,10.24762313,22.88812377,31.63898269,34.05711941,34.07034704,34.18833555,34.21791108,34.23424918,9.839811274,14.16224998,37.89192202,55.74153622,57.73444949,57.58958482,57.79104235,57.17588551,56.43518353,12.55008561,18.02259792,52.4104939,78.95446711,80.62224211,80.38492968,80.61099189,79.43772039,78.08777423
0,0,0,3.33E-14,0,-1.66E-14,0,0,0,2.964017731,4.455985623,23.54884774,40.4489037,41.97256444,41.84259772,41.97515051,41.82594233,41.50195618,5.748432741,8.507635042,43.86842495,74.337073,75.59983164,75.30193058,75.5838258,74.94333978,74.04798279,1.459239354,2.136308853,5.914774952,9.039865185,9.921989629,9.928729237,9.950554445,9.957029655,9.960837228,3.806570689,5.626290715,25.86292521,43.39256767,44.82400126,44.6758928,44.82424822,44.59141236,44.17342037,6.075735557,8.94245184,44.22683901,74.5056771,75.77784492,75.46517694,75.75726061,75.03208161,74.04798279,2.841322345,4.101083306,11.0177221,16.55570574,17.78877002,17.7973271,17.8112515,17.82704425,17.84015073,4.627189844,6.749966011,28.0125144,46.07567362,47.36973109,47.20769492,47.36862245,47.06768185,46.56630073,6.403375571,9.377882924,44.58596403,74.67480117,75.95653953,75.62917121,75.93157644,75.12130204,74.04798279
2.38E-14,2.38E-14,2.38E-14,0,4.77E-14,1.19E-14,-1.19E-14,0,0,12.61570075,19.04052374,42.87784259,57.17959362,62.41339661,60.36206041,63.46206373,65.06336238,64.21231024,23.9964281,35.2708388,70.56389901,87.1291431,90.77885916,88.9823291,91.33821668,92.19677546,91.06789371,6.487461969,9.721651338,26.70487574,39.07121957,41.7883013,39.46399977,43.7478229,46.27650677,45.48647289,15.71515319,23.34857287,51.8196609,68.34409906,72.54596501,70.05381108,73.92788363,75.88177021,74.76370111,24.41123052,35.78678001,70.92870037,87.30782502,90.94430169,89.17971445,91.50379259,92.24858724,91.06789371,12.50653982,18.37406924,47.5058757,67.23433207,69.80716671,66.07259151,72.53612174,76.51040381,75.27232503,18.70168582,27.41411928,59.67521697,77.75252628,80.81440212,78.00047718,82.4110558,84.6537275,83.32512511,24.8264756,36.30337805,71.29396103,87.48690972,91.11021932,89.37775671,91.67002258,92.30061347,91.06789371
0,0,0,0,0,4.27E-14,0,0,0,3.382130947,5.068996259,24.31788837,41.18008643,42.83577884,42.70977823,42.85002488,42.67470305,42.33846079,6.534038963,9.619774942,44.88159738,74.8963855,76.21056098,75.92738758,76.19664777,75.52395102,74.61030058,1.767888096,2.590642436,6.865498486,10.31386858,11.34469951,11.35297847,11.39517897,11.40366881,11.40774241,4.381901956,6.455742034,26.95925688,44.46726969,46.01689903,45.87168126,46.02811023,45.75909491,45.31738681,6.8967993,10.10081685,45.27851986,75.08340935,76.40806477,76.10903131,76.38947895,75.6228611,74.61030058,3.436014313,4.958598421,12.67403094,18.66034832,20.05860209,20.06781066,20.09626096,20.11397762,20.12753536,5.353904759,7.783342704,29.39000586,47.42337178,48.81452776,48.65488769,48.82148433,48.47667993,47.94187732,7.259921353,10.5825118,45.67619431,75.27099771,76.60630668,76.29149362,76.58326852,75.7222896,74.61030058
0,0,1.46E-14,1.46E-14,2.91E-14,1.46E-14,0,1.46E-14,1.46E-14,13.30780391,20.31466955,42.28710691,53.16116824,57.81131512,69.55372743,72.71185384,70.74528988,68.84788005,25.34382137,37.70413676,70.35745167,82.39050747,87.34118377,96.45178169,98.74545865,97.22603551,95.66486228,6.184334723,9.38908327,25.6972829,36.22928957,36.0542122,53.1917496,57.71087342,55.13155274,52.46526214,16.22707322,24.39278133,50.93081234,63.80341942,66.91066907,82.2380691,86.17125192,83.68038323,81.20516101,25.71161939,38.13759067,70.65017845,82.58182667,87.49361353,96.48716401,98.75188897,97.22603551,95.66486228,11.90285936,17.70300247,45.67421736,62.3426036,60.61450942,88.00266357,94.64838543,90.50296795,86.26677466,19.03368348,28.22811664,58.51148843,72.77971552,74.40134923,92.45568214,96.90400328,94.07454462,91.15679723,26.07944253,38.57096843,70.94253293,82.77298407,87.64611884,96.52261015,98.75834919,97.22603551,95.66486228
0,0,0,1.61E-14,0,1.61E-14,0,0,0,12.40040989,18.68543204,42.98446632,58.02009744,63.29862455,58.96461424,62.10982884,64.31458121,63.63097449,23.59648614,34.63359664,70.59886885,88.10302464,91.43758199,87.83405469,90.24493347,91.50690169,90.43781936,6.46147594,9.666468603,26.91837265,39.76772649,42.9433314,37.40678551,41.72603633,45.11976063,44.63568402,15.49880303,22.99299575,51.9922474,69.32809465,73.64741898,68.20905065,72.14282178,74.84753982,73.94564231,24.01981992,35.16579617,70.97876086,88.2802604,91.60646743,88.05990021,90.43835945,91.56816845,90.43781936,12.46324975,18.28446941,47.8889196,68.41820526,71.66053037,62.78912092,69.3373946,74.68478405,73.93646501,18.48639188,27.06226128,59.90742545,78.85310175,82.07947606,75.81702237,80.30142432,83.40051433,82.32436971,24.4436838,35.69879744,71.3592563,88.45798996,91.77589534,88.28650439,90.63254776,91.6296888,90.43781936
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
