PPI _ 0 _ 0 _ 2,PPI _ 0 _ 0 _ 3,PPI _ 0 _ 0 _ 5,PPI _ 0 _ 0 _ 7,PPI _ 0 _ 0 _ 10,PPI _ 0 _ 0 _ 15,PPI _ 0 _ 0 _ 20,PPI _ 0 _ 0 _ 25,PPI _ 0 _ 0 _ 100,PPI _ 0 _ 0.5 _ 2,PPI _ 0 _ 0.5 _ 3,PPI _ 0 _ 0.5 _ 5,PPI _ 0 _ 0.5 _ 7,PPI _ 0 _ 0.5 _ 10,PPI _ 0 _ 0.5 _ 15,PPI _ 0 _ 0.5 _ 20,PPI _ 0 _ 0.5 _ 25,PPI _ 0 _ 0.5 _ 100,PPI _ 0 _ 1 _ 2,PPI _ 0 _ 1 _ 3,PPI _ 0 _ 1 _ 5,PPI _ 0 _ 1 _ 7,PPI _ 0 _ 1 _ 10,PPI _ 0 _ 1 _ 15,PPI _ 0 _ 1 _ 20,PPI _ 0 _ 1 _ 25,PPI _ 0 _ 1 _ 100,PPI _ 0.5 _ 0 _ 2,PPI _ 0.5 _ 0 _ 3,PPI _ 0.5 _ 0 _ 5,PPI _ 0.5 _ 0 _ 7,PPI _ 0.5 _ 0 _ 10,PPI _ 0.5 _ 0 _ 15,PPI _ 0.5 _ 0 _ 20,PPI _ 0.5 _ 0 _ 25,PPI _ 0.5 _ 0 _ 100,PPI _ 0.5 _ 0.5 _ 2,PPI _ 0.5 _ 0.5 _ 3,PPI _ 0.5 _ 0.5 _ 5,PPI _ 0.5 _ 0.5 _ 7,PPI _ 0.5 _ 0.5 _ 10,PPI _ 0.5 _ 0.5 _ 15,PPI _ 0.5 _ 0.5 _ 20,PPI _ 0.5 _ 0.5 _ 25,PPI _ 0.5 _ 0.5 _ 100,PPI _ 0.5 _ 1 _ 2,PPI _ 0.5 _ 1 _ 3,PPI _ 0.5 _ 1 _ 5,PPI _ 0.5 _ 1 _ 7,PPI _ 0.5 _ 1 _ 10,PPI _ 0.5 _ 1 _ 15,PPI _ 0.5 _ 1 _ 20,PPI _ 0.5 _ 1 _ 25,PPI _ 0.5 _ 1 _ 100,PPI _ 1 _ 0 _ 2,PPI _ 1 _ 0 _ 3,PPI _ 1 _ 0 _ 5,PPI _ 1 _ 0 _ 7,PPI _ 1 _ 0 _ 10,PPI _ 1 _ 0 _ 15,PPI _ 1 _ 0 _ 20,PPI _ 1 _ 0 _ 25,PPI _ 1 _ 0 _ 100,PPI _ 1 _ 0.5 _ 2,PPI _ 1 _ 0.5 _ 3,PPI _ 1 _ 0.5 _ 5,PPI _ 1 _ 0.5 _ 7,PPI _ 1 _ 0.5 _ 10,PPI _ 1 _ 0.5 _ 15,PPI _ 1 _ 0.5 _ 20,PPI _ 1 _ 0.5 _ 25,PPI _ 1 _ 0.5 _ 100,PPI _ 1 _ 1 _ 2,PPI _ 1 _ 1 _ 3,PPI _ 1 _ 1 _ 5,PPI _ 1 _ 1 _ 7,PPI _ 1 _ 1 _ 10,PPI _ 1 _ 1 _ 15,PPI _ 1 _ 1 _ 20,PPI _ 1 _ 1 _ 25,PPI _ 1 _ 1 _ 100
-2.27E-14,-2.27E-14,0,-2.27E-14,-2.27E-14,-2.27E-14,0,-2.27E-14,1.14E-14,10.64555004,16.57430114,28.70772796,33.2542745,41.88707033,41.79766019,41.83501037,41.54980481,41.54980481,20.66544849,31.70963597,53.61229485,61.02655951,75.05815702,74.85216574,74.71414914,73.87287995,73.87287995,3.085938152,4.658353831,7.672373312,9.13462062,11.46150542,11.4756549,11.59275294,11.60240737,11.60240737,12.13261763,18.649211,31.63982818,36.4324953,45.24134744,45.13613185,45.16573773,44.78812743,44.78812743,20.8770856,31.95241242,53.81511078,61.22820608,75.19326649,74.97301606,74.80347989,73.87287995,73.87287995,5.988972942,8.901510275,14.27933457,16.67797529,20.38945715,20.39308599,20.56771341,20.59156311,20.59156311,13.57521,20.62976288,34.36079751,39.32299591,48.20424227,48.08406755,48.10482278,47.64798523,47.64798523,21.08896376,32.19558838,54.01846209,61.43049083,75.32889295,75.09441704,74.89325992,73.87287995,73.87287995
0,-3.95E-14,-1.32E-14,-2.63E-14,-2.63E-14,-2.63E-14,-2.63E-14,-3.95E-14,-2.63E-14,17.63404938,24.74261724,34.42874463,41.06644089,51.33658238,51.31773807,51.54366133,51.22239104,51.22239104,32.80517794,44.50527045,59.01400867,68.38580354,82.17881321,82.0468956,81.96409521,81.49654301,81.49654301,9.928388717,13.91019978,19.2430711,22.14068194,26.14367949,26.25709689,26.74165479,26.52544005,26.52544005,22.02702623,30.39650742,41.28511663,48.16153039,58.25720646,58.23299489,58.4947901,58.09877869,58.09877869,33.05534815,44.75442764,59.20636317,68.55357523,82.26820545,82.12326663,81.99965236,81.49654301,81.49654301,18.94148342,25.96709334,34.83123129,39.15897647,44.68272916,44.78451228,45.47328607,45.14712074,45.14712074,26.20624581,35.6486901,47.4394807,54.3701804,64.07150044,64.03343808,64.31274969,63.86892403,63.86892403,33.30533642,45.00348577,59.39912987,68.72186434,82.35792577,82.19996954,82.03537809,81.49654301,81.49654301
0,0,0,2.01E-14,0,0,0,0,-2.01E-14,18.6507024,27.76402473,43.77317677,50.56451339,60.75020728,60.40311033,62.6071371,62.41930994,62.41930994,34.74291414,49.62236861,72.21213741,79.94024881,89.70750671,89.31197119,90.90302822,90.19609824,90.19609824,11.73667627,18.02918009,30.14744017,34.56273047,41.36894723,41.18387198,44.36017929,44.57438819,44.57438819,23.90998239,35.181592,54.29542328,61.37469899,71.38070963,70.97937785,73.75928211,73.47059445,73.47059445,35.00709821,49.91076108,72.4248877,80.14450955,89.84154175,89.4517661,90.9903702,90.19609824,90.19609824,22.49166608,33.76265452,54.19673282,60.54531021,69.81325873,69.37403209,74.29251452,74.6504445,74.6504445,28.94091682,42.10046303,63.661656,70.71861318,80.14910549,79.6919697,82.89477789,82.53525532,82.53525532,35.27160019,50.19961204,72.63816666,80.34933527,89.97598124,89.59205249,91.07806083,90.19609824,90.19609824
-2.30E-14,0,-2.30E-14,0,2.30E-14,0,0,2.30E-14,0,13.59220509,20.91981277,35.48717656,39.9644465,48.60368597,48.58810447,48.53878899,48.04262951,48.04262951,25.84110932,38.78747166,63.14340972,68.95100483,80.31184073,80.1662605,79.90864856,78.67979293,78.67979293,6.221420356,9.313478581,15.05002168,17.79740744,22.15965146,22.26429998,22.35245971,22.35736753,22.35736753,16.5041101,24.91148574,40.89187407,45.73688173,54.55335802,54.51877532,54.4342255,53.73942211,53.73942211,26.19109697,39.18108976,63.43351228,69.25997389,80.54012403,80.38126078,80.09215785,78.67979293,78.67979293,11.9594413,17.52415284,27.26579085,31.44453825,37.75227694,37.83028549,37.90113867,37.92351796,37.92351796,19.30092362,28.65858542,45.75368608,50.78715262,59.53456466,59.47439635,59.35396101,58.49295112,58.49295112,26.54145064,39.57529263,63.72436412,69.56985756,80.7692059,80.59717751,80.27650448,78.67979293,78.67979293
0,0,0,2.52E-14,0,-1.26E-14,0,0,0,10.24214496,16.01018204,27.94164698,32.40487698,40.97754042,40.89417108,40.85911611,40.57782666,40.57782666,19.95692712,30.80383359,52.63546692,60.08428037,74.35182572,74.15000222,73.95637359,73.12191418,73.12191418,2.652633559,4.001105059,6.60092979,7.91245485,10.01002829,10.02752026,10.03879701,10.0426386,10.0426386,11.53866543,17.82103626,30.51224388,35.21609574,43.97850999,43.88071258,43.81858593,43.44867185,43.44867185,20.16196407,31.03997221,52.83506329,60.28238179,74.48403795,74.26723108,74.04284905,73.12191418,73.12191418,5.163212039,7.681197537,12.38029865,14.57535616,18.00135366,18.01723494,18.03000276,18.04406018,18.04406018,12.80016578,19.55785802,32.91751982,37.79736263,46.66122298,46.5502202,46.46519779,46.0185487,46.0185487,20.36723707,31.27650423,53.03518848,60.48111498,74.61676233,74.38500126,74.12976544,73.12191418,73.12191418
1.20E-14,1.20E-14,1.20E-14,0,3.60E-14,-1.20E-14,-1.20E-14,0,0,18.52911784,27.40274448,42.65591454,49.42887929,59.62467362,59.31682135,61.28435031,61.08056862,61.08056862,34.51118796,49.01051802,70.63414105,78.55877764,88.80736559,88.44334704,89.83428301,89.15597133,89.15597133,11.520452,17.5366822,28.84367608,33.07750722,39.54856967,39.3991807,42.25366675,42.41641474,42.41641474,23.68481497,34.60944039,52.73987103,59.7948934,69.81163297,69.45538827,71.93423425,71.63271465,71.63271465,34.77369656,49.29421971,70.8444531,78.75867612,88.93606346,88.57555935,89.91543383,89.15597133,89.15597133,22.06716372,32.83056927,51.88135658,57.98832545,66.80863051,66.43408513,70.84687646,71.12301739,71.12301739,28.61391243,41.32903905,61.72209942,68.76396569,78.22685035,77.8198174,80.67310172,80.30349933,80.30349933,35.03646332,49.57831323,71.05527989,78.9591339,89.06515664,88.70824405,89.99691179,89.15597133,89.15597133
1.82E-14,1.82E-14,1.82E-14,3.63E-14,3.63E-14,3.63E-14,1.82E-14,0,1.82E-14,10.34966578,16.1678662,28.18428387,32.64749099,41.22189278,41.14072256,41.10520993,40.81694521,40.81694521,20.14578168,31.06027065,52.97360892,60.36895803,74.54268886,74.34267737,74.14696592,73.29965174,73.29965174,2.768065277,4.172950448,6.874279574,8.232191705,10.40298627,10.42330363,10.43707301,10.44094911,10.44094911,11.69845212,18.04930035,30.84664909,35.55460834,44.31839923,44.22265274,44.15980393,43.77934324,43.77934324,20.35551,31.30150945,53.17614009,60.57066015,74.67802522,74.46308482,74.23659419,73.29965174,73.29965174,5.38303235,7.99959173,12.86186178,15.1209683,18.64009488,18.65798994,18.67264066,18.68696786,18.68696786,13.0096276,19.85118245,33.33146849,38.21583554,47.07558783,46.96623443,46.88006854,46.41996762,46.41996762,20.56547863,31.54314792,53.37920731,60.77300329,74.81388306,74.5840458,74.32667629,73.29965174,73.29965174
0,0,0,0,1.32E-14,0,-1.32E-14,0,0,19.88039113,30.38192201,47.13946967,52.71011008,62.01684198,70.10771363,70.84760946,67.47603808,67.47603808,37.00002014,54.00281586,76.63532233,82.39206784,90.89242866,97.27662409,97.75343198,94.98869041,94.98869041,12.53149786,20.42281549,34.99637676,37.78625065,42.68736287,54.38112169,55.51823772,50.94189632,50.94189632,25.4835406,38.71632943,59.26416439,64.44867489,72.83895994,83.37141337,84.26382508,79.91090907,79.91090907,37.28709643,54.29042606,76.81876546,82.55088016,90.9827732,97.29022877,97.7568538,94.98869041,94.98869041,23.97222827,38.11735742,62.60342954,65.89496516,71.83224432,90.45600952,91.92949468,84.60086819,84.60086819,30.82981468,46.45430172,69.98375684,74.53641738,81.73330237,94.11189984,95.09483002,90.02351532,90.02351532,37.57410944,54.57791444,77.00212071,82.70967922,91.07317492,97.3038779,97.76029161,94.98869041,94.98869041
0,0,0,1.70E-14,0,1.70E-14,0,0,0,18.53420798,27.51598967,43.45422908,50.36124558,60.63022895,59.48353985,61.82630732,61.94017631,61.94017631,34.52907776,49.20732464,71.79303254,79.70794749,89.59524312,88.5572553,90.25389643,89.74196788,89.74196788,11.66138366,17.8023896,29.68799166,34.25731844,41.24407195,39.93334224,43.30288427,43.97105281,43.97105281,23.76091074,34.84668389,53.82462888,61.08345769,71.2425702,69.80514191,72.76390306,72.86034673,72.86034673,34.79109249,49.4957911,72.0085598,79.91651467,89.73341806,88.70900784,90.34919058,89.74196788,89.74196788,22.35141018,33.35004973,53.40015776,60.03842982,69.6219923,67.37633969,72.62126555,73.70758059,73.70758059,28.76196997,41.68794115,63.06261468,70.35688189,79.99902341,78.32556296,81.73872312,81.82569506,81.82569506,35.05346126,49.78477105,72.22467415,80.12570162,89.87203035,88.86129422,90.44486491,89.74196788,89.74196788
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
